Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,84379,21744.86,380.32,21113,21678.0,22422
1364,86535,21733.78,403.87,21113,21678.0,29997
1365,12881,21716.23,388.9,21113,21634.0,22353
1366,15731,21751.37,442.23,21113,21678.0,29997
1367,24314,21757.63,413.22,21113,21678.0,29997
1368,37281,21773.84,466.03,21113,21689.0,29997
1369,58530,21742.22,392.23,21113,21656.0,23210
1370,59085,21626.53,437.18,21113,21441.0,22422
1371,58257,21620.32,436.68,21113,21441.0,22422
1372,36365,21624.95,438.84,21113,21441.0,22422
1373,54558,21630.95,439.72,21113,21441.0,22422
1374,103217,21661.92,452.2,21113,21452.0,22422
1375,59272,21651.5,446.0,21113,21452.0,22422
1376,59562,21637.35,439.45,21113,21452.0,22422
1377,47201,21629.8,433.14,21113,21452.0,22422
1378,81213,21632.82,433.67,21113,21452.0,22433
1379,78548,21617.64,429.3,21113,21452.0,22433
1380,79040,21601.61,420.31,21113,21452.0,22433
1381,113712,21602.19,422.21,21113,21452.0,22433
1382,85895,21590.96,418.15,21113,21420.0,22433
1383,102352,31479.76,394.59,31111,31252.0,32221
1384,106500,31488.74,399.72,31111,31252.0,32221
1385,107199,31480.97,395.64,31111,31251.0,32221
1386,102156,31468.12,388.43,31111,31251.0,32221
1387,114423,31447.0,376.29,31111,31251.0,32221
1388,99955,31450.62,378.22,31111,31251.0,32221
1389,94080,31450.5,378.16,31111,31251.0,32221
1390,88637,31449.26,377.13,31111,31251.0,32221
1391,83200,31448.49,374.95,31111,31251.0,32221
1392,79177,31437.08,366.67,31111,31251.0,32221
1393,72069,31433.39,361.92,31111,31251.0,32221
1394,69165,31430.74,361.71,31111,31251.0,32221
1395,68676,31423.55,355.18,31111,31251.0,32221
1396,72079,31423.02,355.42,31111,31251.0,32221
1397,60862,31430.48,360.65,31111,31251.0,32221
1398,48371,31428.2,358.14,31111,31251.0,32221
1399,53795,31395.11,313.73,31111,31261.0,32221
1400,56915,31397.45,318.74,31111,31255.0,32221
1401,48035,31408.8,341.62,31111,31251.0,32221
1402,42297,31401.32,339.17,31111,31251.0,32221
