Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,84379.0,2373.89,4109.63,5.0,1200.0,230000.0
1364,86535.0,2349.68,4395.79,5.0,1200.0,240000.0
1365,12881.0,2958.3,5022.14,50.0,1500.0,200000.0
1366,15731.0,3389.61,5181.41,20.0,1800.0,98000.0
1367,24314.0,4577.77,7280.07,20.0,2400.0,220000.0
1368,37281.0,5379.12,9673.46,20.0,2500.0,650000.0
1369,58530.0,7091.02,11505.99,20.0,3600.0,530000.0
1370,59084.0,8074.17,14100.21,40.0,4000.0,970000.0
1371,58257.0,10063.76,17331.98,0.0,4800.0,1400000.0
1372,36365.0,11767.76,19762.65,80.0,5500.0,970000.0
1373,54558.0,16822.91,28643.58,85.0,7500.0,1100000.0
1374,103214.0,24907.79,41766.07,1.0,12000.0,3000000.0
1375,59272.0,33652.35,56110.76,50.0,15000.0,3000000.0
1376,59562.0,38550.78,66148.57,120.0,18000.0,4000000.0
1377,47201.0,42801.31,69194.78,100.0,20000.0,3000000.0
1378,81213.0,44237.02,75806.37,200.0,20000.0,3000000.0
1379,78548.0,50672.76,84172.43,100.0,24000.0,4000000.0
1380,79040.0,51268.36,80284.52,100.0,25000.0,3000000.0
1381,113712.0,52967.8,90729.58,200.0,25000.0,6000000.0
1382,85895.0,55952.84,90382.3,200.0,30000.0,7200000.0
1383,102352.0,61633.3,94784.75,0.0,32000.0,8000000.0
1384,106358.0,69764.48,109910.69,250.0,40000.0,5500000.0
1385,107199.0,84249.52,127650.93,500.0,50000.0,5000000.0
1386,102156.0,99282.36,152367.75,500.0,60000.0,8500000.0
1387,114423.0,118512.93,183288.34,500.0,75000.0,11100000.0
1388,99955.0,134750.47,193212.03,300.0,85000.0,12500000.0
1389,94080.0,163734.64,233033.81,500.0,100000.0,10000000.0
1390,88637.0,201822.61,259749.78,1000.0,150000.0,8000000.0
1391,83200.0,271269.78,366191.25,1000.0,185000.0,27000000.0
1392,79177.0,364577.56,479034.25,2000.0,250000.0,20000000.0
1393,72069.0,417121.22,645466.38,3000.0,300000.0,88000000.0
1394,69165.0,435090.5,552855.81,3000.0,300000.0,35000000.0
1395,68675.0,446692.84,564747.5,2500.0,300000.0,20000000.0
1396,72079.0,496748.84,671256.31,3000.0,350000.0,60000000.0
1397,60862.0,673760.19,863933.75,3500.0,480000.0,50900000.0
1398,48371.0,912196.06,1239031.75,9000.0,600000.0,50000000.0
1399,53795.0,1093338.75,1511576.12,10000.0,650000.0,85000000.0
1400,56915.0,1770682.75,2422636.5,20000.0,1000000.0,70000000.0
1401,48035.0,3085296.25,3833064.5,20000.0,2200000.0,150000000.0
