Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,84379,681255.81,509052.36,1001,1031195.0,1234515
1364,86535,643019.32,510531.52,1001,1021141.0,1234425
1365,12881,577117.47,531618.18,1003,211004.0,1234215
1366,15731,625208.4,524384.66,1002,1004015.0,1234210
1367,24314,606155.75,523076.57,1003,234004.0,1234275
1368,37281,591075.72,516096.06,1001,232014.0,1234275
1369,58530,583578.76,513038.06,1001,221033.0,1234220
1370,59085,582824.55,510010.08,1002,223029.0,1234220
1371,58257,591930.91,509211.82,1001,233001.0,1234219
1372,36365,626067.88,510603.17,1001,1003109.0,1234225
1373,54558,722600.41,510778.78,1001,1044080.0,1244039
1374,103217,6598988.82,5105709.0,10002,10240065.0,12440080
1375,59272,621332.76,519173.53,1001,1003003.0,1244035
1376,59562,619869.09,516580.24,1002,1002048.0,1254055
1377,47201,57912995.02,51414817.02,11001,24041039.0,127074100
1378,81213,59578197.26,51325660.35,11002,24062104.0,127074070
1379,78548,58561419.08,51043910.34,11001,24053086.0,127074070
1380,79040,60195153.09,51272457.29,11001,26024053.0,127074070
1381,113712,60446766.36,51050926.4,11001,26032100.0,127074180
1382,85895,59130099.61,51058685.54,11001,25012034.0,127114115
1383,102352,59730412.1,51089541.28,11003,26012014.0,127114130
1384,106500,60473914.33,51062511.9,11006,27024003.0,129214070
1385,107199,58578310.27,51255438.31,11002,26032058.0,129214100
1386,102156,61971874.27,50822895.1,11006,28133090.0,129214115
1387,114423,1638290616.22,504394679.77,1000001001,1297668005.0,2297861005
1388,99955,1619208168.27,504821742.99,1000001003,1290003005.0,2290245005
1389,94080,1641697294.9,502827463.29,1000001172,1290121173.0,2290128460
1390,88637,1657245586.85,502867845.68,1000001180,2000119208.0,2300126263
1391,83200,1660412230.97,501305772.23,1000001177,2000114196.0,2300127066
1392,79177,16368536677.67,5038590234.49,10001000101,12907634308.0,23004664316
1393,72069,16416540041.71,5015253511.92,10001000120,13001648412.0,23004664413
1394,69165,16360176174.91,5022421692.13,10001000116,13001647516.0,23004664429
1395,68676,16254268661.0,5004610299.62,10001000132,12904631177.5,23004664425
1396,72079,16252132324.61,5026498619.78,10001000126,12903629229.0,23004664440
1397,60862,16150321862.81,5044601230.41,10001000102,12806355414.0,23006709817
1398,48371,16123057443.04,5049908230.66,10001000108,12807356017.0,23006709818
1399,53795,15960931235.92,5031062611.26,10001000113,12802348813.0,23006709823
1400,56915,15994682504.01,4997611681.95,10001000119,12801346332.0,23006709832
1401,48035,16089143539.26,5011999292.92,10001000138,12807355941.0,23006709841
1402,42297,16102876275.26,5013592101.46,10001000135,12806354747.0,23006709847
