Year,Purchase,Non_Agricultural_Work,Home_Production,Instead_of_Private_Service,Donation,Instead_of_Public_Service,Purchase_Free_Price,Purchase_Subsidised_Price,Agricultural_Work,,Instead_of_Cooperative_Service
1363,,0.54,2.54,0.01,0.18,0.09,84.63,11.99,0.01,,
1364,,0.58,2.26,0.02,0.13,0.05,90.83,6.11,0.02,,
1365,,0.49,2.05,,0.15,0.06,93.43,3.81,0.01,,
1366,,0.48,2.0,0.03,0.14,0.02,93.83,3.45,,0.05,
1367,,0.42,1.41,,0.09,0.05,95.51,2.5,0.0,0.02,
1368,,0.49,1.35,0.0,0.17,0.07,95.81,2.02,0.01,0.08,
1369,98.17,0.47,0.96,0.01,0.14,0.05,,,0.01,0.2,
1370,98.24,0.49,1.01,0.02,0.11,0.04,,,0.03,0.07,
1371,98.29,0.54,0.87,0.02,0.12,0.03,,,0.02,0.11,
1372,98.52,0.36,0.86,0.01,0.08,0.02,,,0.01,0.13,
1373,98.42,0.39,0.97,0.01,0.1,0.04,,,0.01,0.05,
1374,98.55,0.49,0.77,0.02,0.12,0.04,,,0.02,0.0,
1375,98.61,0.53,0.63,0.04,0.13,0.05,,,0.0,,
1376,98.46,0.58,0.71,0.04,0.14,0.04,,,0.02,,
1377,98.54,0.54,0.68,0.03,0.17,0.04,,,0.0,,
1378,98.48,0.5,0.53,0.03,0.44,0.03,,,0.01,,
1379,98.61,0.53,0.54,0.02,0.25,0.04,,,0.0,,0.0
1380,98.7,0.56,0.47,0.02,0.23,0.02,,,0.0,,0.0
1381,98.89,0.53,0.39,0.01,0.14,0.03,,,0.0,,0.0
1382,98.9,0.54,0.42,0.02,0.09,0.02,,,0.01,,
1383,98.99,0.51,0.32,0.02,0.14,0.01,,,0.01,,0.0
1384,99.01,0.5,0.31,0.01,0.14,0.02,,,0.0,,0.0
1385,99.05,0.53,0.3,0.02,0.09,0.01,,,0.0,,0.0
1386,99.05,0.49,0.3,0.03,0.09,0.04,,,0.0,,0.0
1387,99.39,0.32,0.22,0.01,0.05,0.01,,,,,
1388,99.4,0.32,0.19,0.01,0.07,0.01,,,0.0,,0.0
1389,99.45,0.31,0.21,0.0,0.03,0.0,,,,,
1390,99.49,0.24,0.21,0.01,0.03,0.0,,,0.0,,0.0
1391,99.52,0.19,0.19,0.0,0.09,0.01,,,0.0,,0.0
1392,99.56,0.21,0.21,0.0,0.01,0.0,,,,,
1393,99.49,0.25,0.17,0.01,0.06,0.01,,,0.0,,0.0
1394,99.65,0.21,0.11,0.0,0.02,0.0,,,,,0.0
1395,99.55,0.24,0.14,0.0,0.05,0.01,,,,0.0,0.0
1396,99.55,0.25,0.1,0.01,0.08,0.01,,,0.0,,0.0
1397,99.65,0.19,0.1,0.01,0.05,0.0,,,,,
1398,99.58,0.14,0.14,0.01,0.12,0.0,,,0.0,,
1399,99.35,0.18,0.05,0.1,0.28,0.04,,,,,
1400,99.51,0.16,0.06,0.12,0.11,0.04,,,,,
1401,99.62,0.26,0.06,0.02,0.03,0.01,,,0.0,,
1402,99.63,0.25,0.06,0.04,0.01,0.0,,,,,
