Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,22607,82991.34,473.26,81111,83112.0,83123
1384,25577,83018.81,416.59,81111,83112.0,83123
1385,30996,83049.64,343.44,81111,83112.0,83123
1386,35116,83077.09,261.55,81111,83112.0,83123
1387,47619,83091.35,202.11,81111,83112.0,83123
1388,47905,83087.18,221.4,81111,83114.0,83123
1389,52951,83099.33,160.54,81111,83114.0,83123
1390,58006,83098.61,165.25,81111,83114.0,83123
1391,58807,83104.15,131.82,81111,83114.0,83123
1392,58157,83107.02,108.44,81111,83114.0,83123
1393,59746,83106.76,111.27,81111,83114.0,83123
1394,61245,83106.42,116.68,81111,83114.0,83123
1395,63570,83107.5,107.47,81111,83114.0,83123
1396,65699,83108.24,100.03,81111,83114.0,83123
1397,68500,83108.93,94.19,81111,83114.0,83123
1398,67602,83108.78,93.61,81111,83114.0,83123
1399,74807,83107.54,105.17,81111,83114.0,83123
1400,78918,83107.34,108.7,81111,83114.0,83123
1401,78056,83106.69,115.55,81111,83114.0,83123
1402,77988,83106.05,119.44,81111,83114.0,83123
