Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,22607.0,83553.19,169141.98,100.0,48000.0,8500000.0
1384,25488.0,100838.36,166331.69,0.0,60000.0,6684000.0
1385,30996.0,120263.09,202157.52,100.0,70000.0,6500000.0
1386,35116.0,148702.48,213631.78,200.0,94000.0,8000000.0
1387,47619.0,158588.84,206461.92,200.0,100000.0,6000000.0
1388,47905.0,148594.41,187034.16,500.0,100000.0,7500000.0
1389,52951.0,155314.62,200510.72,1000.0,100000.0,9500000.0
1390,58006.0,179923.2,213105.14,500.0,120000.0,15000000.0
1391,58807.0,194357.61,209776.19,3000.0,145000.0,5500000.0
1392,58157.0,215593.66,224037.0,2000.0,150000.0,8500000.0
1393,59746.0,224112.03,229550.14,3000.0,160000.0,8000000.0
1394,61245.0,224577.02,221895.81,4000.0,160000.0,4800000.0
1395,63570.0,230588.42,223188.95,3000.0,172000.0,9000000.0
1396,65699.0,249111.97,254409.67,5000.0,190000.0,8000000.0
1397,68500.0,277546.0,289211.22,9000.0,200000.0,8500000.0
1398,67602.0,306824.75,359301.28,5000.0,200000.0,40000000.0
1399,74807.0,362192.12,372377.03,10000.0,270000.0,17000000.0
1400,78918.0,443215.19,457717.19,3300.0,300000.0,25000000.0
1401,78056.0,544950.81,761584.88,10000.0,400000.0,150000000.0
1402,77988.0,639120.88,718927.75,10000.0,500000.0,60000000.0
