Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,22607,69259921.82,51207965.03,11001,102164068.0,127114130
1384,25577,71346340.57,51047935.73,11002,103034024.0,129214070
1385,30996,69585337.33,51597848.55,11001,102202098.0,129214100
1386,35116,71812780.22,50510501.37,11002,103051072.0,129213113
1387,47619,1567339239.86,497025910.88,1000001001,1266811004.0,2297861005
1388,47905,1570130560.27,498444718.51,1000001001,1260034002.0,2290245005
1389,52951,1595339744.37,500138511.64,1000001172,1270052207.0,2290128460
1390,58006,1610690116.45,502428403.95,1000001180,1280093209.0,2300127066
1391,58807,1613940283.82,503450582.82,1000001177,1280125070.0,2300127069
1392,58157,16050945160.75,5018082971.09,10001000101,12804609213.0,23004664416
1393,59746,16010895554.66,5013981015.71,10001000108,12802606109.5,23004664416
1394,61245,15950990731.62,5005501089.89,10001000116,12801603713.0,23004664429
1395,63570,15931494355.45,5001112501.31,10001000120,12801602232.0,23004664434
1396,65699,15928306459.06,5001935396.66,10001000126,12714590429.0,23004664440
1397,68500,15714970481.0,4987784016.25,10001000102,12702328115.5,23006709817
1398,67602,15750709287.97,4988376850.47,10001000108,12704330411.0,23006709818
1399,74807,15918042907.78,5008289509.69,10001000113,12709339526.0,23006709829
1400,78918,15937640941.94,5009793916.88,10001000119,12710341621.5,23006709832
1401,78056,15977485874.33,5018622019.27,10001000126,12713343529.0,23006709841
