Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,210707,67692.58,20842.28,31219,72170.0,91119
1364,214055,67491.44,20840.63,31219,72170.0,86163
1365,34699,67990.92,20192.73,31219,72170.0,86163
1366,39857,69730.23,19561.19,31219,72170.0,86163
1367,50991,69621.95,19412.91,31219,72170.0,86226
1368,73318,67948.76,20008.27,31219,72169.0,86226
1369,113208,68022.75,19313.65,31139,72169.0,86232
1370,115546,67906.61,19243.47,31219,72169.0,86196
1371,110543,66907.12,19437.43,31219,72169.0,86196
1372,75649,66634.4,19193.18,31219,72169.0,86196
1373,119643,65518.93,19250.59,31219,72169.0,86196
1374,239119,66354.1,19610.27,31219,72170.0,86232
1375,129476,66119.69,19349.27,31219,72170.0,86232
1376,129836,65966.03,19162.86,31219,72170.0,86232
1377,109061,65617.69,19205.15,31219,72169.0,86243
1378,219039,69832.25,18911.02,31219,72180.0,86287
1379,210091,70321.99,18652.68,31219,72180.0,86298
1380,220686,69306.7,19194.39,31219,72180.0,86298
1381,282826,69073.63,19367.95,31219,72180.0,86298
1382,215101,68863.81,19504.52,31219,72180.0,86298
1383,298144,97506.64,34337.41,43111,95114.0,139216
1384,378284,99872.53,33045.03,43111,102111.0,139216
1385,434169,103261.58,32402.88,43111,123111.0,139216
1386,411425,104869.14,31914.67,43111,124113.0,139216
1387,503069,107299.71,31015.38,43111,125113.0,139216
1388,467493,107331.98,30941.39,43111,125113.0,139216
1389,464470,107177.8,31006.15,31231,125113.0,139217
1390,458723,107282.09,30817.89,31231,125113.0,139217
1391,454916,107899.52,30450.28,31231,125113.0,139217
1392,443542,108134.91,30435.5,31231,125114.0,139217
1393,448153,108104.41,30230.85,31231,125114.0,139217
1394,446525,107901.28,30339.22,31231,125114.0,139217
1395,443763,107088.52,30646.34,31231,125113.0,139217
1396,465054,106352.25,30797.39,31231,125113.0,139217
1397,478818,106933.99,30409.79,31231,125114.0,139217
1398,443425,106986.71,30438.22,31231,125113.0,139217
1399,404018,107203.63,30698.53,31231,125114.0,139217
1400,401004,107147.49,30470.58,31231,125114.0,139217
1401,386864,107111.2,30347.75,31231,125113.0,139217
1402,391353,106851.43,30365.47,31231,125113.0,139217
