Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,206563.0,42296.19,458912.88,10.0,3000.0,70000000.0
1364,209323.0,37725.52,326697.62,10.0,3000.0,30000000.0
1365,34558.0,24129.06,119352.31,0.0,3000.0,4200000.0
1366,38992.0,23121.12,142219.06,20.0,2500.0,8000000.0
1367,49995.0,26520.15,159587.22,20.0,2600.0,8500000.0
1368,71738.0,31035.78,196068.97,20.0,3000.0,25000000.0
1369,110888.0,38748.16,240820.22,1.0,3700.0,32000000.0
1370,113618.0,51316.0,362708.19,10.0,4000.0,38000000.0
1371,110543.0,68910.74,458580.69,0.0,5500.0,36000000.0
1372,74388.0,88251.41,556116.44,20.0,8000.0,38500000.0
1373,117014.0,136989.34,894334.88,20.0,13000.0,80000000.0
1374,234496.0,172537.64,1157940.38,1.0,18650.0,90000000.0
1375,126981.0,240249.34,1490641.62,50.0,28000.0,120000000.0
1376,127291.0,292065.66,1818583.5,1.0,35000.0,132500000.0
1377,106820.0,351848.5,2034011.12,1.0,43000.0,125000000.0
1378,215687.0,380345.31,2278149.0,100.0,41000.0,205000000.0
1379,207260.0,470069.5,2564530.75,10.0,50000.0,150000000.0
1380,218187.0,562999.89,3126440.06,150.0,60000.0,420000000.0
1381,280297.0,637630.25,3329243.5,1.0,70000.0,207000000.0
1382,213356.0,763528.99,4459338.74,1.0,80000.0,650000000.0
1383,298144.0,765855.07,4823686.78,0.0,70000.0,925000000.0
1384,374090.0,893797.42,5310762.24,0.0,100000.0,628000000.0
1385,431688.0,990905.97,5845632.55,0.0,100000.0,918000000.0
1386,409196.0,1192863.45,6386117.54,0.0,130000.0,1100000000.0
1387,500474.0,1265232.28,7118064.38,0.0,150000.0,1500000000.0
1388,464971.0,1430094.05,7157565.05,0.0,168000.0,1150000000.0
1389,462042.0,1714646.75,8029650.5,0.0,228776.0,1120000000.0
1390,457102.0,1957577.96,8335285.62,0.0,270000.0,1000000000.0
1391,453160.0,2239485.75,9278588.11,0.0,320000.0,2100000000.0
1392,442103.0,2765910.19,11621433.33,0.0,400000.0,1500000000.0
1393,446702.0,3268356.24,13732445.14,0.0,460000.0,1500000000.0
1394,445225.0,3608091.94,14921249.28,0.0,500000.0,1800000000.0
1395,442448.0,4005125.37,17235961.55,0.0,500000.0,3120000000.0
1396,463516.0,4653696.64,20770806.13,0.0,600000.0,2600000000.0
1397,476908.0,5632005.81,28727034.53,0.0,750000.0,8000000000.0
1398,441925.0,6843627.68,31135748.13,0.0,1000000.0,3650000000.0
1399,402748.0,9143645.73,45946545.11,0.0,1200000.0,8000000000.0
1400,400014.0,13584697.06,65155610.16,0.0,1800000.0,7300000000.0
1401,385972.0,20404080.01,118499070.47,0.0,2800000.0,30000000000.0
1402,390493.0,30058706.04,168680020.55,0.0,4500000.0,20000000000.0
