Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,210707,705858.49,503767.2,1001,1032058.0,1234515
1364,214056,663656.35,507983.44,1001,1023010.0,1234425
1365,34699,634986.96,529067.47,1001,1021006.0,1234215
1366,39857,626859.58,526570.9,1001,1012004.0,1234210
1367,50991,636289.6,523767.43,1001,1014022.0,1234275
1368,73318,631827.07,514811.27,1001,1003065.0,1234275
1369,113208,617099.16,512704.17,1001,1004022.0,1234220
1370,115546,613744.22,510543.14,1001,1003059.0,1234220
1371,110543,625538.43,509316.61,1001,1004045.0,1234220
1372,75649,658549.52,506128.38,1001,1012043.0,1234225
1373,119643,758976.92,503377.88,1001,1061136.0,1244040
1374,239119,7256965.05,5050383.48,10001,10440133.0,12440080
1375,129476,681723.81,518926.56,1001,1031124.0,1244035
1376,129836,670256.59,519531.14,1001,1024047.0,1254055
1377,109061,65285216.17,51812410.99,11001,102023013.0,127074100
1378,219039,64912489.66,51661777.46,11001,100061063.0,127074070
1379,210091,63135291.32,51474831.89,11001,27053041.0,127074070
1380,220686,63360472.1,51491869.12,11001,27063079.0,127074070
1381,282826,65202754.68,51428182.15,11001,100014033.0,127074180
1382,215101,65093202.48,51481165.52,11001,100014034.0,127114115
1383,298144,65613490.85,51351772.48,11001,100074070.0,127114130
1384,378284,66331440.8,51184541.57,11001,101053060.0,129214070
1385,434169,62638014.1,51612350.13,11001,28024063.0,129214100
1386,411425,66001992.79,50778247.51,11001,100062092.0,129214115
1387,503069,1614876382.19,504390600.07,1000001001,1287328005.0,2297861005
1388,467493,1597518715.69,503312814.31,1000001001,1270114005.0,2290245005
1389,464470,1611139216.65,502438666.14,1000001171,1280043140.0,2290128464
1390,458723,1617507540.24,503482362.62,1000001172,1280094203.0,2300127066
1391,454916,1621195359.2,503980943.21,1000001177,1290019669.5,2300127069
1392,443542,16158137095.51,5028732671.66,10001000101,12901625713.0,23004664416
1393,448153,16195801691.69,5030224067.38,10001000108,12901627217.0,23004664416
1394,446525,16181040135.29,5032356553.22,10001000116,12901626923.0,23004664429
1395,443763,16180434918.1,5024540182.09,10001000120,12807613823.0,23004664434
1396,465054,16207199286.09,5028377726.25,10001000126,12901626029.0,23004664440
1397,478818,15929636122.13,5019414767.32,10001000102,12710340617.0,23006709817
1398,443425,15958005973.03,5019477129.29,10001000108,12711342023.0,23006709818
1399,404018,16038365236.62,5020427768.43,10001000113,12714344717.0,23006709829
1400,401004,15990090751.9,5013820186.61,10001000119,12710341432.0,23006709832
1401,386869,16008168971.42,5018886166.27,10001000126,12713343625.0,23006709841
1402,391355,15979095683.46,5019204013.33,10001000132,12713344038.0,23006709847
