Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,20107.0,2.46,1.67,0.0,2.0,17.0
1385,33639.0,2.99,2.45,0.0,2.0,80.0
1386,33049.0,2.8,1.97,1.0,2.0,26.0
1387,51734.0,5169426.5,27380162.0,0.0,3.0,2100000000.0
1388,51803.0,6117246.0,37029136.0,1.0,3.0,6000000000.0
1389,52554.0,8299591.32,39397761.39,1.0,3.0,4000000000.0
1390,50696.0,8787915.0,37227220.0,0.0,3.0,2000000000.0
1391,49596.0,8597614.0,37354932.0,1.0,3.0,2400000000.0
1392,47134.0,10370747.0,41103880.0,1.0,3.0,1220000000.0
1393,46526.0,11849649.0,51363008.0,1.0,2.0,2000000000.0
1394,48204.0,10988513.0,50880296.0,1.0,2.0,1940000000.0
1395,47786.0,11705471.0,65633656.0,1.0,2.0,7000000000.0
1396,48785.0,15132094.0,68928888.0,1.0,2.0,2400000000.0
1397,49565.0,20642598.0,93271120.0,0.0,2.0,5000000000.0
1398,47598.0,21253820.0,97915656.0,0.0,2.0,4100000000.0
1399,47222.0,26547776.5,139037796.7,1.0,2.0,9200000000.0
1400,47100.0,37246282.42,188317870.66,1.0,2.0,8000000000.0
1401,45783.0,63615405.27,406549471.84,1.0,2.0,50150000000.0
1402,46265.0,76193193.53,385297978.75,0.0,2.0,20000000000.0
