Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,5835.0,403935.84,1573997.62,10.0,70000.0,57000000.0
1364,6789.0,269920.66,1089639.75,100.0,48000.0,30000000.0
1365,18615.0,15597.35,127937.34,0.0,0.0,5000000.0
1366,1173.0,277987.75,559782.06,400.0,95000.0,7000000.0
1367,1393.0,346591.25,685627.0,475.0,120000.0,7300000.0
1368,2198.0,373318.44,878567.44,250.0,130000.0,21700000.0
1369,3154.0,430975.19,1105767.75,200.0,140000.0,23000000.0
1370,2845.0,598371.12,1732310.88,3.0,170000.0,44000000.0
1371,110543.0,17732.7,316108.19,0.0,0.0,30000000.0
1372,1989.0,802591.62,2321107.25,1000.0,200000.0,27000000.0
1373,3940.0,1185593.25,3550655.0,700.0,300000.0,80000000.0
1374,6665.0,1815762.77,5487225.95,1000.0,450000.0,90000000.0
1375,3635.0,2604185.5,12998184.0,3.0,500000.0,550000000.0
1376,3694.0,2517674.75,7231388.0,2500.0,520000.0,138000000.0
1377,3228.0,2804253.5,8771465.0,1.0,500000.0,240000000.0
1378,4984.0,3462642.0,9501306.0,3000.0,750000.0,137330000.0
1379,4365.0,3908050.75,10489419.0,1000.0,750000.0,120000000.0
1380,4068.0,4818767.5,13207690.0,3000.0,800000.0,235000000.0
1381,4701.0,5152676.5,13631460.0,2000.0,830000.0,213000000.0
1382,3424.0,6338611.0,16718694.0,4000.0,1000000.0,278000000.0
1383,298144.0,123346.81,2619841.5,0.0,0.0,275000000.0
1384,42484.0,1241073.12,8690356.0,0.0,0.0,480000000.0
1385,17985.0,3254139.0,16131600.0,0.0,0.0,930000000.0
1386,22252.0,2755058.25,13128411.0,0.0,0.0,360000000.0
1387,24176.0,2968460.0,17363434.0,0.0,0.0,1550000000.0
1388,20744.0,3429811.25,17707868.0,0.0,0.0,1000000000.0
1389,20002.0,3602287.25,16766683.0,0.0,0.0,900000000.0
1390,17523.0,3387511.5,14544969.0,0.0,0.0,390000000.0
1391,19546.0,4584172.5,20676064.0,0.0,0.0,800000000.0
1392,8863.0,12206569.0,41232424.0,0.0,0.0,900000000.0
1393,7604.0,16357862.0,51866220.0,0.0,0.0,1120000000.0
1394,6630.0,18345320.0,59842956.0,0.0,0.0,1500000000.0
1395,6390.0,19042632.0,60486184.0,0.0,0.0,1700000000.0
1396,7275.0,23036101.17,70922601.69,0.0,0.0,1800000000.0
1397,4946.0,49215456.0,120741936.0,0.0,4000000.0,4000000000.0
1398,5428.0,61895892.0,174115200.0,0.0,0.0,4000000000.0
1399,3633.0,120424613.27,327593484.25,0.0,1000000.0,6700000000.0
1400,1579.0,360385611.15,544557641.43,0.0,120000000.0,7630000000.0
1401,1551.0,654832469.37,1114609910.58,0.0,270000000.0,22000000000.0
1402,1480.0,918791993.24,1758386620.63,0.0,350000000.0,48000000000.0
