Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132.0,581068.94,496098.75,0.0,530940.0,11796660.0
1370,13087.0,751297.25,914931.25,0.0,700000.0,74400000.0
1371,13514.0,991671.5,841711.06,0.0,875000.0,19143996.0
1372,8845.0,1313417.75,1127167.0,0.0,1200000.0,30000000.0
1373,14813.0,1679762.0,1353172.25,0.0,1610000.0,32000000.0
1374,26440.0,2017804.75,1821344.88,0.0,1866600.0,105437760.0
1375,16818.0,2640056.69,2502186.82,0.0,2400000.0,79800000.0
1376,17136.0,3431949.74,3377448.69,0.0,3000000.0,180000000.0
1377,14007.0,4122196.13,4426782.5,0.0,3500000.0,114240000.0
1378,21822.0,4781705.06,6046795.61,0.0,3877500.0,386640000.0
1379,21108.0,5618631.46,5894175.27,0.0,4500000.0,210000000.0
1380,20676.0,6776741.3,6403943.32,0.0,5400000.0,116910708.0
1381,24597.0,8262620.94,7627931.56,0.0,6600000.0,219404307.0
1382,18191.0,10355133.24,9266878.12,0.0,8400000.0,297170000.0
1383,19605.0,12538017.75,12186736.43,0.0,10320000.0,772995000.0
1384,21060.0,14972994.99,13053840.78,0.0,12350000.0,214671900.0
1385,22726.0,18104551.66,15866962.89,0.0,15207598.0,557212128.0
1386,24023.0,21521552.9,19447612.81,0.0,18000000.0,860000000.0
1387,29310.0,24785067.11,19114562.97,0.0,22000000.0,339063096.0
1388,26685.0,27771514.24,21643918.28,0.0,24000000.0,316800000.0
1389,26970.0,32103057.85,25260982.21,0.0,28800000.0,583158000.0
1390,25055.0,38950700.24,27781558.12,0.0,36000000.0,576000000.0
1391,24329.0,46830177.98,33185748.71,0.0,43840000.0,900000000.0
1392,23751.0,62550653.92,43420024.85,0.0,60000000.0,1764800000.0
1393,23784.0,78117282.39,56979706.51,0.0,72000000.0,2280000000.0
1394,23778.0,92494035.27,66013053.72,0.0,84000000.0,1400000000.0
1395,23543.0,105741648.05,79640869.95,0.0,96000000.0,1471800000.0
1396,23792.0,119061188.7,93100683.59,0.0,100800000.0,1830600000.0
1397,24478.0,142259454.03,112003656.02,0.0,120000000.0,2934000000.0
1398,23568.0,176366928.33,138591528.21,0.0,150000000.0,3600000000.0
1399,23072.0,250890219.49,188674082.01,0.0,216000000.0,2760000000.0
1400,23124.0,395722856.66,277829096.44,0.0,360000000.0,3600000000.0
1401,22611.0,592957005.8,399955242.15,0.0,569386200.0,14400000000.0
1402,22094.0,882425423.25,580932787.32,0.0,840000000.0,16500000000.0
