Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132.0,662557.5,687223.81,0.0,550000.0,20645000.0
1370,13087.0,881293.19,1128908.88,0.0,734500.0,74400000.0
1371,13514.0,1162688.72,1230228.66,0.0,950000.0,30500000.0
1372,8845.0,1525375.12,1672309.38,0.0,1319500.0,50500000.0
1373,14813.0,1992337.89,2022826.79,0.0,1800000.0,63938600.0
1374,26440.0,2435796.23,2587425.25,0.0,2146090.0,118001040.0
1375,16818.0,3146746.74,3495863.92,0.0,2547512.0,112675000.0
1376,17136.0,4058155.82,4819831.34,0.0,3300000.0,216000000.0
1377,14007.0,4896077.57,5867481.63,0.0,3600000.0,167000000.0
1378,21822.0,5645064.24,7499039.04,0.0,4050000.0,386640000.0
1379,21108.0,6668409.89,7833049.78,0.0,4800000.0,210000000.0
1380,20676.0,8123096.24,10663304.6,0.0,5574713.0,711794360.0
1381,24597.0,9795823.91,10804501.49,0.0,7000000.0,402260000.0
1382,18191.0,12302710.88,14369519.98,0.0,8960000.0,455200000.0
1383,19605.0,14616298.63,15298851.04,0.0,10800000.0,854500000.0
1384,21199.0,17710494.69,18851437.45,0.0,13200000.0,638400000.0
1385,23036.0,21290885.26,22775564.84,0.0,16000000.0,618635440.0
1386,24087.0,25177788.94,28324971.84,0.0,18600000.0,996880000.0
1387,29355.0,28470749.91,27767497.67,0.0,23100000.0,937232000.0
1388,26698.0,31904682.81,33862346.64,0.0,24500000.0,1230000000.0
1389,26971.0,36729122.09,53673207.09,0.0,30000000.0,6924746450.0
1390,25060.0,44421465.8,67978621.35,0.0,36000000.0,9000000000.0
1391,24335.0,53339922.65,49749520.77,0.0,47000000.0,1751000000.0
1392,23759.0,71391289.55,95957384.9,0.0,60000000.0,7514520058.0
1393,23885.0,88030446.55,79410124.99,0.0,72000000.0,2760000000.0
1394,23798.0,103579962.8,89028785.06,0.0,87000000.0,3084305000.0
1395,23564.0,118331855.85,103779343.01,0.0,96000000.0,2408800000.0
1396,23805.0,132117545.29,121945869.1,0.0,106000000.0,4492000000.0
1397,24482.0,158181738.66,142264940.29,0.0,120000000.0,6909500000.0
1398,23575.0,196526734.72,185918550.68,0.0,156000000.0,8809540000.0
1399,23073.0,277995657.31,275993994.1,0.0,229984000.0,20292200000.0
1400,23130.0,439243145.04,697931701.16,0.0,360000000.0,88800000000.0
1401,22615.0,655361551.68,538650714.7,0.0,600000000.0,14400000000.0
