Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132.0,626693.0,541640.31,0.0,550000.0,11836660.0
1370,13087.0,815422.31,957054.88,0.0,720000.0,74400000.0
1371,13514.0,1074939.38,923271.75,0.0,920000.0,19575996.0
1372,8845.0,1422295.0,1227401.88,0.0,1269000.0,30000000.0
1373,14813.0,1832442.5,1491392.5,0.0,1748836.0,32000000.0
1374,26440.0,2250034.75,1988115.38,0.0,2056058.0,91580000.0
1375,16818.0,2884114.56,2740235.68,0.0,2500000.0,82300000.0
1376,17136.0,3742414.24,3628107.08,0.0,3200000.0,180000000.0
1377,14007.0,4495461.89,4798949.18,0.0,3600000.0,114240000.0
1378,21822.0,5177720.18,6380341.83,0.0,4000000.0,386640000.0
1379,21108.0,6134770.63,6483652.49,0.0,4676060.5,210000000.0
1380,20676.0,7390343.57,7194707.38,0.0,5494622.0,173443000.0
1381,24597.0,9079099.58,8608365.64,0.0,6900000.0,220677307.0
1382,18191.0,11323833.57,10406912.58,0.0,8650000.0,297170000.0
1383,19605.0,13740044.23,13561076.99,0.0,10800000.0,773995000.0
1384,21199.0,16456268.23,14804326.85,0.0,12893340.0,216971900.0
1385,23036.0,19789133.87,17929136.59,0.0,15656634.0,559562128.0
1386,24087.0,23353697.92,21675380.27,-10800000.0,18240000.0,860000000.0
1387,29355.0,26555929.18,21404534.07,0.0,22608000.0,586600000.0
1388,26698.0,29655605.67,24151645.89,0.0,24000000.0,378000000.0
1389,26971.0,34288507.16,28040464.51,0.0,30000000.0,583158000.0
1390,25060.0,41463779.6,30714754.42,0.0,36000000.0,579000000.0
1391,24335.0,49723656.07,36760978.93,0.0,45164000.0,900000000.0
1392,23759.0,66016282.23,47105434.83,0.0,60000000.0,1784800000.0
1393,23885.0,82459943.23,62478286.27,0.0,72000000.0,2292000000.0
1394,23798.0,97722608.32,74357786.12,0.0,85000000.0,1784211375.0
1395,23564.0,111317424.29,87583113.68,0.0,96000000.0,1977979915.0
1396,23805.0,124856883.76,101787693.72,0.0,103500000.0,2428727247.0
1397,24482.0,149227569.73,120160475.27,0.0,120000000.0,2942500000.0
1398,23575.0,185233706.36,147062889.08,0.0,152000000.0,3600000000.0
1399,23073.0,261396301.14,201453361.39,0.0,220400000.0,2990000000.0
1400,23130.0,410468066.34,295174069.52,0.0,360000000.0,5400000000.0
1401,22615.0,618848872.83,423397913.61,0.0,591999992.0,14400000000.0
1402,22094.0,913410614.54,615691095.39,0.0,840000000.0,16500000000.0
