Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132.0,45624.01,123660.69,0.0,0.0,7310000.0
1370,13087.0,64125.14,138674.84,0.0,0.0,2953260.0
1371,13514.0,83267.85,178964.7,0.0,0.0,4000000.0
1372,8845.0,108877.27,230330.45,0.0,0.0,5440000.0
1373,14813.0,152680.47,333780.34,0.0,0.0,12000000.0
1374,26440.0,216593.73,497486.97,0.0,0.0,20000000.0
1375,16818.0,237886.05,556615.06,0.0,0.0,14350000.0
1376,17136.0,301856.84,656230.62,0.0,0.0,12000000.0
1377,14007.0,373265.75,1077149.88,0.0,0.0,81000000.0
1378,21822.0,396015.09,980689.75,0.0,0.0,34700000.0
1379,21108.0,516139.17,1395676.99,0.0,0.0,78000000.0
1380,20676.0,613602.27,1879073.67,0.0,0.0,162575000.0
1381,24597.0,816478.56,1872361.75,0.0,0.0,40700000.0
1382,18191.0,968700.33,2342183.04,0.0,0.0,83445500.0
1383,19605.0,1186479.79,2689601.31,0.0,0.0,46436715.0
1384,13917.0,2279165.16,4063075.97,0.0,1000000.0,53700000.0
1385,16977.0,2370604.76,4901525.11,0.0,244000.0,142561389.0
1386,18263.0,2480662.91,5586888.96,0.0,0.0,301750000.0
1387,23086.0,2245581.48,5933202.37,0.0,0.0,565000000.0
1388,21950.0,2287365.75,5624820.8,0.0,0.0,278000000.0
1389,23023.0,2556522.48,5908363.56,0.0,0.0,153000000.0
1390,20880.0,2975037.91,6597200.11,0.0,0.0,156000000.0
1391,20082.0,3470434.74,8596687.34,0.0,0.0,404000000.0
1392,19470.0,4238277.77,10184780.25,0.0,0.0,363500000.0
1393,19284.0,5470628.68,14392938.54,0.0,0.0,516720000.0
1394,19676.0,6279272.32,22841596.28,0.0,0.0,1386000000.0
1395,19281.0,6687125.24,22113335.57,0.0,0.0,1540000000.0
1396,19694.0,6967290.36,20967591.85,0.0,0.0,1560000000.0
1397,24478.0,6667970.68,17789561.51,0.0,0.0,650000000.0
1398,23568.0,8409142.07,21891361.79,0.0,0.0,720000000.0
1399,23071.0,10405431.59,26179117.31,0.0,0.0,852000000.0
1400,23124.0,14047867.45,41138856.19,0.0,0.0,3000000000.0
1401,22613.0,22178125.72,61663020.67,-20000000.0,0.0,1200000000.0
