Year,Employed,Unemployed,
1374,83.43,16.55,0.02
1375,81.48,18.47,0.04
1376,81.98,18.02,
1377,80.51,19.49,
1378,80.69,19.31,
1379,80.87,19.13,
1380,83.18,16.82,
1381,84.05,15.95,
1382,84.55,15.45,
1383,82.52,17.48,0.01
1384,82.93,17.07,
1385,83.18,16.82,
1386,83.26,16.74,
1387,85.04,14.96,
1388,83.89,16.1,0.0
1389,86.07,13.92,0.01
1390,89.12,10.86,0.01
1391,88.96,11.03,0.01
1392,90.06,9.94,
1393,89.81,10.19,0.0
1394,88.98,11.02,
1395,88.95,11.05,
1396,88.75,11.25,
1397,89.58,10.42,
1398,89.19,10.81,
1399,89.1,10.9,
1400,91.59,8.41,
1401,92.4,7.6,0.0
