Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132,629846.47,511976.5,1002,1011043.0,1234219
1370,13087,628592.04,511571.55,1002,1011051.0,1234216
1371,13514,646819.01,508068.9,1001,1013074.0,1234220
1372,8845,691122.56,505228.12,1003,1021145.0,1234225
1373,14813,772655.22,499605.26,1001,1062149.0,1244038
1374,26423,7395729.03,5021994.9,10001,10610083.0,12440080
1375,16818,640726.09,520173.71,1004,1014046.5,1244035
1376,17136,644768.76,519707.63,1001,1021050.0,1254049
1377,14007,62140409.62,51815329.25,11005,27072214.0,127074100
1378,21822,62720725.39,51636060.83,11001,27053027.0,127074070
1379,21108,61092439.62,51368946.11,11002,26033068.5,127074070
1380,20676,61497499.57,51457480.61,11003,26033142.5,127074070
1381,24597,62881896.09,51222309.32,11005,27061152.0,127074180
1382,18191,64110409.47,51318752.1,11001,27102131.0,127114112
1383,19605,62609583.62,51338863.78,11001,27054035.0,127114130
1384,21199,64800911.73,51131282.33,11001,29121061.0,129214069
1385,23036,63257379.92,51452829.36,11001,28092093.5,129214098
1386,24087,64356905.81,50892930.7,11007,29034007.0,129214114
1387,29355,1641641850.29,503914772.47,1000001001,1297632004.0,2297861003
1388,26699,1624903255.16,503681440.82,1000001002,1280117002.0,2290245005
1389,26974,1647296259.5,503871835.85,1000001172,2000025560.5,2290128460
1390,25063,1644305902.81,504372551.14,1000001172,1300045012.0,2300127066
1391,24337,1635938859.95,505131755.5,1000001177,1290116160.0,2300127066
1392,23759,16293803265.75,5035038135.9,10001000105,12904630616.0,23004664412
1393,23887,16309991356.42,5036640671.54,10001000120,12904630212.0,23004664413
1394,23798,16318970758.98,5049112460.59,10001000116,12905632168.0,23004664425
1395,23564,16315640148.38,5046876071.12,10001000120,12904631179.0,23004664434
1396,23805,16315103243.51,5047470255.44,10001000141,12902629141.0,23004664425
1397,24482,16069322687.4,5015894860.53,10001000114,12713344112.5,23006709811
1398,23575,16142831776.19,5022864398.11,10001000111,12802347623.0,23006709723
1399,23073,16261857302.78,5018807639.34,10001000113,12807356026.0,23006709826
1400,23130,16173918950.69,5006681822.2,10001000120,12803351378.0,23006709832
1401,22615,16098801397.0,5010454581.72,10001000126,12714344634.0,23006709835
