Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,11124,5790.89,2930.19,110,5101.0,9600
1370,11484,5853.98,2910.19,110,5101.0,9599
1371,11840,5867.92,2876.91,110,5101.0,9599
1372,7973,5937.54,2870.73,110,5101.0,9599
1373,13348,6046.82,2827.36,110,5501.0,9600
1374,26437,4728.98,2714.02,0,4521.0,9999
1375,16818,441.97,276.92,11,452.0,980
1376,17136,446.26,277.81,11,452.0,970
1377,14007,434.29,278.68,11,452.0,970
1378,21822,4374.49,2792.07,111,4521.0,9800
1379,21108,4355.0,2766.37,111,4521.0,9900
1380,20676,4418.85,2742.59,111,4521.0,9800
1381,24597,4422.5,2731.13,111,4521.0,9900
1382,18191,4457.98,2689.68,111,4521.0,9700
1383,19603,4491.21,2703.25,111,4521.0,9900
1384,21199,4460.8,2700.37,111,4521.0,9700
1385,23036,4472.72,2651.64,111,4521.0,9700
1386,24087,4560.91,2590.12,111,4521.0,9700
1387,29355,4556.11,2560.9,0,4521.0,9800
1388,26698,4504.01,2566.22,0,4521.0,9900
1389,26971,4570.93,2551.08,111,4521.0,9800
1390,25060,4642.97,2499.22,111,4521.0,9800
1391,24335,4615.39,2510.69,111,4521.0,9900
1392,23759,44221.44,27403.3,0,41000.0,99000
1393,23887,43892.48,27547.9,0,41000.0,97000
1394,23798,43883.7,27888.34,1110,41000.0,97000
1395,23564,43568.15,27742.76,1110,41000.0,97000
1396,23805,43374.6,27818.84,0,41000.0,99000
1397,24482,43932.23,28067.28,1110,41000.0,99000
1398,23575,43158.03,28253.59,1110,41000.0,99000
1399,23073,42511.61,27726.49,1110,41000.0,97000
1400,23130,42858.88,27703.45,1110,41000.0,98200
1401,22614,43083.73,27649.7,1110,41000.0,97000
1402,22092,43068.24,27660.1,1110,41000.0,98200
