Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,13132,1.79,1.41,1,1.0,20
1370,13087,1.82,1.44,0,1.0,15
1371,13514,1.77,1.43,0,1.0,17
1372,8845,1.8,1.47,0,1.0,50
1373,14813,1.83,1.45,0,1.0,21
1374,26440,1.82,1.43,0,1.0,20
1375,16818,1.88,1.47,1,1.0,18
1376,17136,1.87,1.43,1,1.0,22
1377,14007,1.93,1.46,1,1.0,15
1378,21822,1.97,1.5,1,1.0,15
1379,21108,1.95,1.48,1,1.0,16
1380,20676,1.97,1.49,1,1.0,17
1381,24597,2.02,1.52,1,1.0,15
1382,18191,1.98,1.49,1,1.0,22
1383,19604,2.02,1.54,1,1.0,14
1384,21199,2.03,1.53,1,1.0,20
1385,23036,2.02,1.5,1,1.0,16
1386,24087,2.01,1.47,1,1.0,13
1387,29355,1.92,1.42,1,1.0,16
1388,26698,1.93,1.43,1,1.0,16
1389,26971,1.92,1.39,1,1.0,17
1390,25060,1.88,1.36,1,1.0,16
1391,24335,1.89,1.35,1,1.0,16
1392,23759,1.69,1.2,1,1.0,14
1393,23886,1.73,1.23,1,1.0,12
1394,23798,1.73,1.21,1,1.0,13
1395,23564,1.74,1.21,1,1.0,12
1396,23805,1.76,1.21,1,1.0,14
1397,24482,1.69,1.15,1,1.0,12
1398,23575,1.7,1.16,1,1.0,14
1399,23073,1.66,1.12,1,1.0,14
1400,23130,1.66,1.09,1,1.0,10
1401,22615,1.66,1.08,1,1.0,10
