Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1370,13087.0,63137.37,58416.17,0.0,64008.0,1050000.0
1371,13514.0,87156.71,80622.05,0.0,84000.0,1595333.0
1372,8845.0,111577.34,98575.6,0.0,112055.0,2008566.0
1373,14813.0,139901.77,115589.35,0.0,143507.0,2100000.0
1374,26440.0,174369.52,179926.3,0.0,170200.0,8936480.0
1375,16818.0,229780.22,230493.14,0.0,220350.0,6650000.0
1376,17136.0,297394.03,308948.69,0.0,287000.0,15000000.0
1377,14007.0,354676.62,381397.38,0.0,320000.0,8400000.0
1378,21822.0,412752.84,531329.5,0.0,384031.0,32220000.0
1379,21108.0,481654.41,526345.62,0.0,450000.0,19950000.0
1380,20676.0,580567.12,614755.31,0.0,500000.0,25000000.0
1381,24597.0,719416.5,698535.75,0.0,649568.0,24500000.0
1382,18191.0,911275.25,922432.25,0.0,815308.0,24750000.0
1383,19605.0,1095667.38,1658075.5,0.0,1000000.0,187500000.0
1384,20075.0,1375600.87,1269653.58,0.0,1250000.0,60000000.0
1385,22114.0,1611691.67,1420735.94,0.0,1500000.0,46434344.0
1386,23402.0,1894759.05,1620590.53,0.0,1800000.0,50000000.0
1387,28989.0,2198376.5,1704441.25,0.0,2097334.0,28793484.0
1388,26496.0,2434987.74,1993226.69,0.0,2400000.0,58519070.0
1389,26916.0,2818206.07,2302529.1,0.0,2813750.0,70000000.0
1390,24835.0,3444855.86,2485315.41,0.0,3336668.0,50000000.0
1391,24256.0,4136255.68,3301589.11,0.0,4000000.0,145836418.0
1392,23664.0,5493421.25,4149517.76,0.0,5000000.0,160000000.0
1393,23586.0,6850068.86,5019062.19,0.0,6500000.0,137150000.0
1394,23652.0,8015322.89,6252076.07,0.0,7626667.0,274700000.0
1395,23354.0,9115532.9,7247944.09,0.0,8400000.0,200000000.0
1396,23676.0,10216811.73,8449134.42,0.0,9000000.0,200000000.0
1397,24469.0,12051001.43,9965093.49,0.0,10963333.0,267000000.0
1398,23559.0,14937336.32,12266801.91,0.0,14000000.0,300000000.0
1399,23053.0,21497179.56,17418387.21,0.0,20000000.0,476066666.0
1400,23114.0,34082299.37,24875550.76,0.0,30500000.0,585000000.0
1401,22612.0,50742255.66,37075171.99,0.0,50000000.0,1200000000.0
1402,22094.0,76094087.35,51803515.71,0.0,74000000.0,1200000000.0
