Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1370,13087.0,72221.69,79603.74,0.0,70000.0,1331580.0
1371,13514.0,100044.38,114686.44,0.0,90000.0,2400000.0
1372,8845.0,128754.5,154269.56,0.0,120000.0,4700870.0
1373,14813.0,161875.2,167923.19,0.0,150000.0,4884151.0
1374,26440.0,202054.2,228460.09,0.0,185000.0,9733420.0
1375,16818.0,269556.75,319799.88,0.0,240000.0,13000000.0
1376,17136.0,341136.72,400509.59,0.0,300000.0,18000000.0
1377,14007.0,409044.75,526118.62,0.0,350000.0,22000000.0
1378,21822.0,476558.41,675907.62,0.0,400000.0,32220000.0
1379,21108.0,560897.56,697897.5,0.0,450000.0,20000000.0
1380,20676.0,669880.56,771426.25,0.0,520000.0,25000000.0
1381,24597.0,829993.75,946444.12,0.0,659000.0,24500000.0
1382,18191.0,1053851.83,1785312.13,0.0,850000.0,175000000.0
1383,19605.0,1261941.0,1966575.25,0.0,1025000.0,187500000.0
1384,21199.0,1520438.02,1826994.78,0.0,1250000.0,60479524.0
1385,23036.0,1809120.24,2788167.86,0.0,1500000.0,297000000.0
1386,24087.0,2086959.56,2232822.36,0.0,1800000.0,79690000.0
1387,29355.0,2463356.65,2465147.65,0.0,2196000.0,77703200.0
1388,26699.0,2722961.66,2835505.47,0.0,2480000.0,97000000.0
1389,26973.0,3184929.18,3547983.52,0.0,3000000.0,154500000.0
1390,25059.0,3881835.13,4290295.89,0.0,3500000.0,165000000.0
1391,24336.0,4988986.75,46455605.0,0.0,4000000.0,7205760869.0
1392,23759.0,6197351.03,6456872.59,0.0,5500000.0,160000000.0
1393,23882.0,7582759.01,7525242.2,0.0,7000000.0,215250000.0
1394,23798.0,8987374.13,10399485.23,0.0,8000000.0,403000000.0
1395,23564.0,10069514.41,12747713.27,0.0,8600000.0,912000000.0
1396,23805.0,11140995.64,11192225.47,0.0,9333330.0,330000000.0
1397,24482.0,13388235.34,15943026.94,0.0,11140000.0,1200000000.0
1398,23575.0,16484111.28,17481314.6,0.0,15000000.0,1040000000.0
1399,23073.0,23614633.6,35818296.63,0.0,20000000.0,4095000000.0
1400,23130.0,37205714.76,57033223.72,0.0,32000000.0,7000000000.0
1401,22615.0,55224873.34,46281553.4,0.0,50000000.0,1498000000.0
1402,22094.0,83032419.95,75891416.27,0.0,76275000.0,3625000000.0
