Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1370,13087.0,66776.33,62804.62,0.0,65730.0,1050000.0
1371,13514.0,92249.68,87752.15,0.0,87000.0,1631333.0
1372,8845.0,118628.95,108926.56,0.0,118218.0,2008566.0
1373,14813.0,149868.03,129553.49,0.0,149400.0,2100000.0
1374,26440.0,191459.58,230299.81,0.0,180000.0,11128691.0
1375,16818.0,246055.39,250112.27,0.0,230000.0,6650000.0
1376,17136.0,316446.28,330433.97,0.0,300000.0,15000000.0
1377,14007.0,375613.41,405078.91,0.0,330000.0,8400000.0
1378,21822.0,435314.12,555129.25,0.0,400000.0,32220000.0
1379,21108.0,513153.53,571001.94,0.0,450000.0,19950000.0
1380,20676.0,614888.25,662786.0,0.0,500200.0,25000000.0
1381,24597.0,770191.12,775412.5,0.0,650000.0,24500000.0
1382,18191.0,969203.24,1005526.84,0.0,840000.0,24750000.0
1383,19605.0,1174029.38,1736942.0,0.0,1000000.0,187500000.0
1384,21199.0,1399899.6,1393905.92,0.0,1200000.0,60000000.0
1385,23036.0,1660007.23,1556720.36,0.0,1500000.0,46434344.0
1386,24087.0,1942647.37,1773845.27,0.0,1780000.0,50000000.0
1387,29355.0,2288028.75,1907498.5,0.0,2100000.0,38441872.0
1388,26698.0,2531312.93,2195251.75,0.0,2400000.0,59119070.0
1389,26971.0,2941830.63,2510659.21,0.0,2860000.0,70000000.0
1390,25060.0,3559960.41,2748841.65,0.0,3400000.0,65000000.0
1391,24335.0,4305459.57,3567074.44,0.0,4000000.0,145836418.0
1392,23759.0,5679824.59,4435697.45,0.0,5200000.0,160000000.0
1393,23883.0,7030222.26,5390508.63,0.0,6510000.0,137150000.0
1394,23798.0,8262148.61,6813194.71,0.0,7869405.0,274700000.0
1395,23563.0,9318498.34,7798583.69,0.0,8460000.0,200000000.0
1396,23805.0,10454239.36,9056422.88,0.0,9000000.0,221310334.0
1397,24482.0,12400183.01,10666373.55,0.0,11000000.0,267000000.0
1398,23575.0,15353781.74,12794672.12,0.0,14000000.0,300000000.0
1399,23073.0,21925437.86,18204494.01,0.0,20000000.0,476066666.0
1400,23130.0,34741738.35,25924370.76,0.0,31000000.0,585000000.0
1401,22615.0,52252107.62,39050392.22,0.0,50000000.0,1200000000.0
1402,22094.0,77781245.89,54460777.9,0.0,75000000.0,1200000000.0
