Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1370,13087.0,3638.96,15932.8,0.0,0.0,400000.0
1371,13514.0,5092.95,22846.37,0.0,0.0,1000000.0
1372,8845.0,7051.61,33020.43,0.0,0.0,1328000.0
1373,14813.0,9966.24,42172.35,0.0,0.0,750000.0
1374,26440.0,13148.7,53182.91,0.0,0.0,1700000.0
1375,16818.0,15738.75,66089.67,0.0,0.0,1000000.0
1376,17136.0,18500.42,80497.93,0.0,0.0,2000000.0
1377,14007.0,20936.75,88238.49,0.0,0.0,1880000.0
1378,21822.0,22561.3,102666.84,0.0,0.0,2600000.0
1379,21108.0,31499.12,137262.52,0.0,0.0,4000000.0
1380,20676.0,34321.09,162392.08,0.0,0.0,7200000.0
1381,24597.0,50774.55,214824.11,0.0,0.0,5250000.0
1382,18191.0,57927.99,267513.97,0.0,0.0,7000000.0
1383,19605.0,77711.72,321080.91,0.0,0.0,7200000.0
1384,10624.0,176546.59,512460.97,0.0,0.0,12000000.0
1385,14570.0,151911.31,507092.09,0.0,0.0,8776962.0
1386,16169.0,150288.48,536964.5,0.0,0.0,10000000.0
1387,20666.0,157816.86,668245.56,0.0,0.0,32500000.0
1388,20026.0,151353.91,703092.94,0.0,0.0,23000000.0
1389,21112.0,164284.73,746418.25,0.0,0.0,14180000.0
1390,18970.0,186107.73,953868.44,0.0,0.0,60000000.0
1391,18480.0,233508.7,998605.0,0.0,0.0,36000000.0
1392,17940.0,274366.34,1261242.38,0.0,0.0,30000000.0
1393,17923.0,319268.19,1450024.62,0.0,0.0,33060000.0
1394,18431.0,362923.23,2297207.01,0.0,0.0,135000000.0
1395,17692.0,358920.47,2241355.25,0.0,0.0,150000000.0
1396,18010.0,373730.34,2495323.75,0.0,0.0,152000000.0
1397,24467.0,315618.03,2077598.88,0.0,0.0,75500000.0
1398,23557.0,389425.59,2567654.0,0.0,0.0,80000000.0
1399,23061.0,441544.09,3147557.75,0.0,0.0,150000000.0
1400,23119.0,618480.06,5148504.5,0.0,0.0,156000000.0
1401,22612.0,1139514.22,6973492.6,-2000000.0,0.0,220000000.0
1402,22094.0,1687158.55,9990410.91,0.0,0.0,288000000.0
