Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,10658,646.93,302.85,13,700.0,999
1370,11008,643.59,306.32,11,641.0,999
1371,11379,640.51,309.15,13,700.0,999
1372,7642,621.65,316.73,13,626.0,999
1373,12716,616.43,316.72,11,626.0,999
1374,25261,635.4,311.9,0,629.0,999
1375,16818,664.38,280.03,11,742.0,933
1376,17136,667.99,279.18,11,743.0,933
1377,14007,675.69,281.5,11,744.0,933
1378,21822,6745.32,2793.18,111,7437.0,9333
1379,21108,6817.91,2770.8,111,7501.0,9333
1380,20676,6813.37,2757.94,111,7501.0,9333
1381,24597,6820.2,2788.92,111,7501.0,9333
1382,18191,6786.82,2768.56,111,7438.0,9333
1383,19604,6762.76,2794.66,111,7438.0,9333
1384,21199,6771.93,2794.93,111,7442.0,9333
1385,23036,6879.13,2768.0,111,8125.0,9333
1386,24086,6861.71,2803.46,111,8132.0,9333
1387,29355,6942.65,2781.74,111,8261.0,9333
1388,26698,7031.94,2749.98,0,8322.0,9333
1389,26971,6976.59,2783.66,111,8322.0,9333
1390,25060,6930.26,2786.53,111,8232.0,9333
1391,24335,6934.25,2779.11,111,8251.0,9333
1392,23759,6994.64,2742.93,0,8311.0,9333
1393,23886,7030.3,2722.58,111,8322.0,9333
1394,23798,7037.58,2717.54,111,8322.0,9333
1395,23564,7036.18,2697.82,111,8322.0,9333
1396,23805,6891.92,2769.74,0,8142.0,9629
1397,24482,6757.15,2802.7,410,7522.0,9629
1398,23575,6794.14,2762.65,410,7536.0,9629
1399,23073,6940.14,2721.56,410,8151.0,9629
1400,23130,6911.6,2733.31,410,8131.0,9629
1401,22614,6867.76,2733.63,410,8114.0,9629
