Year,Private,Public,Cooperative,
1369,62.0,38.0,,
1370,60.73,39.27,,
1371,60.99,39.01,,
1372,60.25,39.75,,
1373,59.18,40.82,,
1374,58.71,41.04,,0.25
1375,63.86,36.13,,0.01
1376,63.18,36.82,,
1377,64.2,33.84,1.96,
1378,67.13,32.13,0.73,
1379,69.22,30.31,0.48,
1380,69.97,29.45,0.58,
1381,71.53,27.87,0.6,
1382,72.16,27.32,0.52,
1383,72.81,26.6,0.58,0.01
1384,73.66,25.8,0.53,
1385,75.31,24.24,0.45,
1386,76.08,23.51,0.41,
1387,76.45,23.13,0.42,
1388,78.18,21.39,0.43,0.0
1389,78.76,20.85,0.38,0.01
1390,78.77,20.82,0.39,0.01
1391,78.56,21.03,0.4,0.01
1392,79.02,20.6,0.38,
1393,80.23,19.39,0.37,0.0
1394,80.49,19.18,0.33,
1395,81.0,18.8,0.2,
1396,81.57,18.17,0.26,
1397,81.28,18.48,0.24,
1398,82.05,17.8,0.15,
1399,83.31,16.49,0.2,
1400,83.1,16.76,0.14,
1401,82.78,16.98,0.23,0.01
1402,82.98,16.88,0.13,0.01
