Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,19485,5.29,1.86,0,6.0,7
1385,21288,5.22,1.95,0,6.0,7
1386,20389,5.62,1.22,0,6.0,7
1387,25260,5.55,1.26,0,6.0,8
1388,22657,5.45,1.32,0,6.0,7
1389,23439,5.4,1.36,0,6.0,7
1390,22501,5.48,1.27,0,6.0,7
1391,21722,5.4,1.28,0,6.0,7
1392,21569,5.37,1.29,0,6.0,7
1393,21561,5.38,1.27,0,6.0,7
1394,21311,5.36,1.29,0,6.0,7
1395,21083,5.32,1.33,0,6.0,7
1396,21340,5.26,1.38,0,6.0,7
1397,22107,5.32,1.37,0,6.0,7
1398,21375,5.33,1.34,0,6.0,7
1399,21074,5.24,1.37,0,6.0,7
1400,21596,5.24,1.36,0,6.0,7
1401,20923,5.33,1.26,1,6.0,7
1402,20637,5.36,1.24,1,6.0,7
