Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,19564,7.79,3.01,0,8.0,24
1385,21291,7.68,3.05,0,8.0,18
1386,20386,8.37,2.05,0,8.0,48
1387,25259,8.39,1.99,0,8.0,18
1388,22657,8.34,1.93,0,8.0,18
1389,23443,8.32,1.88,0,8.0,18
1390,22499,8.36,1.8,0,8.0,18
1391,21723,8.35,1.77,0,8.0,18
1392,21568,8.29,1.72,0,8.0,18
1393,21563,8.28,1.71,0,8.0,18
1394,21313,8.25,1.77,0,8.0,18
1395,21082,8.2,1.75,0,8.0,18
1396,21339,8.22,1.83,0,8.0,18
1397,22106,8.25,1.87,0,8.0,18
1398,21376,8.22,1.93,0,8.0,18
1399,21072,8.17,1.89,0,8.0,18
1400,21593,8.17,1.89,0,8.0,18
1401,20923,8.19,1.75,1,8.0,18
