Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,45098,72156.78,333.76,71417,72329.0,72395
1364,43776,72148.63,346.28,71417,72329.0,79995
1365,5783,72161.79,324.3,71417,72318.0,72340
1366,7742,72177.93,319.06,71417,72329.0,72395
1367,11482,72230.0,268.05,71417,72329.0,72395
1368,16485,72210.75,289.14,71417,72329.0,72395
1369,24090,72222.26,273.32,71417,72329.0,72395
1370,30851,72205.29,296.46,71417,72329.0,72395
1371,29581,72195.02,306.74,71360,72329.0,72395
1372,21412,72215.49,286.04,71417,72329.0,72395
1373,34852,72200.9,295.8,71417,72329.0,72395
1374,68849,72227.49,269.97,71417,72330.0,72395
1375,37446,72224.4,271.17,71417,72330.0,72395
1376,38697,72215.19,279.17,71417,72329.0,72395
1377,29980,72210.97,283.46,71417,72329.0,72395
1378,50266,72186.56,310.37,71417,72329.0,72395
1379,48059,72173.63,321.46,71417,72329.0,72395
1380,48145,72155.67,334.04,71417,72318.0,72395
1381,62407,72111.06,365.08,71417,72318.0,72395
1382,50294,72071.62,385.37,71417,72318.0,72395
1383,62005,94502.14,1445.0,91216,95411.0,95428
1384,61274,94526.51,1414.63,91216,95411.0,95435
1385,58358,94536.99,1403.67,91216,95411.0,95435
1386,55736,94681.32,1281.91,91216,95411.0,95435
1387,59976,94746.35,1229.2,91216,95411.0,95435
1388,49025,94780.37,1181.14,91211,95411.0,95435
1389,43905,94754.31,1186.4,91216,95411.0,95435
1390,40874,94786.47,1137.23,91216,95411.0,95435
1391,39622,94891.73,1035.53,91216,95411.0,95435
1392,36880,94884.61,1003.01,91216,95411.0,95435
1393,35939,94896.83,988.19,91216,95412.0,95435
1394,34513,94958.21,921.73,91216,95413.0,95435
1395,33051,94958.11,899.98,91216,95413.0,95435
1396,34009,94946.63,914.56,91216,95413.0,95435
1397,31961,94961.57,863.46,91216,95413.0,95435
1398,25499,95029.2,786.79,91216,95413.0,95435
1399,17725,95090.51,783.21,91216,95413.0,95435
1400,20441,95100.4,746.83,91216,95413.0,95435
1401,23632,95117.32,707.16,91216,95413.0,95435
