Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,45098.0,354.57,1242.79,5.0,150.0,85000.0
1364,43776.0,376.06,1371.39,5.0,150.0,162400.0
1365,5783.0,585.64,1322.88,10.0,300.0,38000.0
1366,7742.0,538.58,1221.41,5.0,280.0,40000.0
1367,11482.0,638.93,1501.89,10.0,300.0,80000.0
1368,16485.0,716.56,2333.58,10.0,350.0,170000.0
1369,24090.0,836.92,5793.58,1.0,400.0,851272.0
1370,30849.0,992.88,3233.37,10.0,500.0,250000.0
1371,29581.0,1247.07,4073.2,20.0,550.0,300000.0
1372,21412.0,1477.92,4346.28,25.0,750.0,300000.0
1373,34852.0,2895.61,11282.09,40.0,1200.0,1500000.0
1374,68846.0,3664.52,16096.91,30.0,1500.0,3000000.0
1375,37446.0,4051.77,9939.25,8.0,2000.0,550000.0
1376,38697.0,4703.38,11413.88,100.0,2000.0,560000.0
1377,29980.0,5577.62,14058.68,50.0,2400.0,680000.0
1378,50266.0,7008.96,34098.7,50.0,3000.0,5000000.0
1379,48059.0,8056.04,25920.96,100.0,3000.0,2350000.0
1380,48145.0,9257.34,45274.57,60.0,3500.0,8000000.0
1381,62407.0,10490.23,55439.75,100.0,4000.0,10000000.0
1382,50294.0,12231.1,51661.68,100.0,5000.0,5000000.0
1383,62005.0,13236.03,35928.94,100.0,5000.0,2200000.0
1384,61187.0,16193.88,56720.22,100.0,6000.0,5000000.0
1385,58358.0,18486.07,75388.39,0.0,7500.0,3700000.0
1386,55735.0,20544.3,83822.18,200.0,10000.0,7500000.0
1387,59976.0,23934.62,78590.51,200.0,10000.0,7090000.0
1388,49025.0,28857.25,159904.28,500.0,12000.0,21500000.0
1389,43905.0,39336.22,161848.33,500.0,17000.0,10000000.0
1390,40874.0,45703.05,136724.39,350.0,20000.0,15000000.0
1391,39622.0,64119.9,242809.56,1000.0,30000.0,16000000.0
1392,36880.0,90148.14,250483.5,500.0,50000.0,18000000.0
1393,35939.0,96789.09,263294.44,1000.0,50000.0,17000000.0
1394,34513.0,100327.83,342225.94,2000.0,50000.0,30000000.0
1395,33051.0,111694.2,317792.66,500.0,50000.0,20000000.0
1396,34009.0,145935.7,629792.12,1980.0,50000.0,60000000.0
1397,31961.0,199026.25,952036.0,1000.0,100000.0,100000000.0
1398,25499.0,248740.64,632053.44,5000.0,120000.0,60000000.0
1399,17725.0,309532.28,1076813.0,6000.0,150000.0,80000000.0
1400,20441.0,449157.53,1484918.0,8000.0,200000.0,140000000.0
1401,23632.0,754833.56,1614340.75,10000.0,380000.0,80000000.0
