Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,45098,734849.19,497626.16,1001,1034153.0,1234515
1364,43776,688201.44,505611.5,1001,1024180.5,1234425
1365,5783,668621.83,529764.18,1003,1031020.0,1234215
1366,7742,681040.76,522824.21,1002,1032021.0,1234210
1367,11482,646258.68,519919.31,1002,1022037.0,1234275
1368,16485,657383.25,512219.42,1004,1021009.0,1234275
1369,24090,638056.57,512842.75,1001,1013052.5,1234220
1370,30851,628977.87,508263.18,1001,1011022.0,1234216
1371,29581,641482.03,505842.5,1002,1013008.0,1234218
1372,21412,673680.7,503756.14,1001,1021055.5,1234224
1373,34852,770444.11,497974.34,1001,1062073.0,1244040
1374,68849,7262687.25,5017086.21,10001,10520043.0,12440080
1375,37446,661723.41,515541.96,1001,1024070.0,1244035
1376,38697,664371.88,515284.72,1001,1024050.0,1254055
1377,29980,65583667.26,51334053.47,11001,102161098.0,127074100
1378,50266,65585451.92,51543436.68,11001,101054030.0,127074070
1379,48059,64596471.82,51434487.46,11005,100063062.0,127074070
1380,48145,65156707.54,51302947.21,11003,101033015.0,127074069
1381,62407,66838052.51,51126478.4,11002,101053066.0,127074180
1382,50294,67044515.68,51295699.28,11002,102023023.0,127114115
1383,62005,67330286.6,51350903.16,11001,102021021.0,127114129
1384,61274,67341137.91,51080008.1,11003,102013015.0,129214067
1385,58358,64456288.95,51653357.87,11001,100014031.0,129214100
1386,55736,68850683.05,50561349.23,11006,102024024.0,129214115
1387,59976,1579264052.01,500566324.14,1000001001,1277059005.0,2297861005
1388,49025,1551070204.12,496541585.32,1000001001,1250089003.0,2290245005
1389,43905,1560137587.49,495897833.26,1000001180,1250058066.0,2290128459
1390,40874,1581654129.84,498886003.02,1000001180,1270111192.5,2300127062
1391,39622,1592942162.39,499513595.18,1000001180,1280070074.0,2300127069
1392,36880,15783342116.29,4988362170.4,10001000101,12802606808.0,23004664413
1393,35939,15900949446.62,4991752764.73,10001000112,12804610008.0,23004664413
1394,34513,15970314446.48,4987380112.71,10001000116,12901626716.0,23004664429
1395,33051,15988300165.07,4999358680.76,10001000120,12802607126.0,23004664434
1396,34009,15973291217.26,5016207152.63,10001000132,12801603738.0,23004664432
1397,31961,15810046389.91,5014749929.13,10001000114,12707338305.0,23006709814
1398,25499,15772135450.81,4979127955.76,10001000111,12708339020.0,23006709617
1399,17725,16011070663.1,4996684780.08,10001000116,12712343329.0,23006709420
1400,20441,16098409656.28,4975922675.96,10001000120,12803350727.0,23006709732
1401,23632,16110177360.22,5001653722.03,10001000126,12805353835.0,23006709835
