Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,295773,15153.65,2506.21,11110,15540.0,19778
1364,311002,15213.44,2514.74,11110,15540.0,19993
1365,51809,14950.52,2469.76,11110,15449.0,19756
1366,63183,15185.52,2683.91,11110,15540.0,91197
1367,92676,15196.79,2472.59,11110,15540.0,19778
1368,136402,15203.96,2456.87,11110,15540.0,19778
1369,402492,14979.16,2233.25,11110,15438.0,19778
1370,407241,14999.42,2322.04,11110,15416.0,19552
1371,409859,15019.89,2304.5,11110,15427.0,19552
1372,292306,14998.9,2263.65,11110,15416.0,19552
1373,470756,14992.44,2311.92,11110,15427.0,19552
1374,874879,15023.21,2316.13,11110,15438.0,19563
1375,503808,15074.4,2347.97,11110,15427.0,19563
1376,523101,15095.27,2369.31,11110,15427.0,19563
1377,422342,15128.4,2355.82,11110,15518.0,19563
1378,706456,15120.09,2390.34,11110,15518.0,19563
1379,720008,15155.87,2381.55,11110,15518.0,19563
1380,765426,15172.28,2387.01,11110,15518.0,19563
1381,1037964,15186.41,2354.02,11110,15518.0,19563
1382,793904,15200.08,2366.23,11110,15518.0,19563
1383,907142,11614.19,280.81,11111,11711.0,12218
1384,970821,11612.0,281.73,11111,11665.0,12218
1385,1038358,11608.22,281.98,11111,11665.0,12218
1386,1075820,11604.38,283.51,11111,11662.0,12218
1387,1272333,11606.08,283.19,11111,11663.0,12218
1388,1179687,11606.35,283.71,11111,11665.0,12218
1389,1218187,11606.29,283.93,11111,11662.0,12218
1390,1247888,11609.84,285.34,11111,11665.0,12218
1391,1225167,11611.15,286.3,11111,11665.0,12218
1392,1189323,11610.04,285.74,11111,11665.0,12218
1393,1207280,11611.07,284.43,11111,11665.0,12218
1394,1215711,11611.2,282.97,11111,11665.0,12218
1395,1231814,11611.2,280.64,11111,11665.0,12218
1396,1257681,11613.49,280.69,11111,11665.0,12218
1397,1220929,11610.29,280.53,11111,11665.0,12218
1398,1149157,11605.24,280.19,11111,11661.0,12218
1399,1102050,11604.94,281.96,11111,11664.0,12218
1400,1127133,11604.37,281.57,11111,11661.0,12218
1401,1081382,11606.63,281.31,11111,11663.0,12218
1402,1085545,11607.46,280.65,11111,11663.0,12218
