Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,284777.0,411.47,1746.01,1.0,120.0,159000.0
1364,298727.0,451.07,1865.68,1.0,120.0,135000.0
1365,51627.0,598.6,2842.67,1.0,120.0,159600.0
1366,60706.0,579.0,2833.31,1.0,130.0,236250.0
1367,89079.0,732.07,3136.84,1.0,150.0,180000.0
1368,131496.0,820.59,4811.07,1.0,180.0,1050000.0
1369,402059.0,2903.86,8612.34,1.0,1100.0,1540000.0
1370,407202.0,3480.28,9292.44,1.0,1500.0,1562020.0
1371,409859.0,4226.07,9708.54,0.0,1800.0,900000.0
1372,292306.0,5014.51,11688.5,5.0,2100.0,1000000.0
1373,470756.0,7029.2,16226.96,11.0,3000.0,2560000.0
1374,874833.0,10603.2,26211.03,6.0,4760.0,6480000.0
1375,503808.0,12101.64,30624.2,1.0,5400.0,4500000.0
1376,523101.0,13746.64,41309.08,2.0,6000.0,14000000.0
1377,422342.0,17756.78,63568.05,16.0,8000.0,9000000.0
1378,706456.0,19859.33,61319.78,30.0,9000.0,10399200.0
1379,720008.0,20851.63,53452.36,100.0,10000.0,9100000.0
1380,765426.0,21323.6,52495.5,60.0,10000.0,6000000.0
1381,1037964.0,23325.91,61889.05,50.0,10400.0,20000000.0
1382,793904.0,26006.9,61459.58,100.0,12000.0,9800000.0
1383,907142.0,28181.42,71313.09,0.0,12500.0,8500000.0
1384,970430.0,30997.41,78285.06,100.0,15000.0,20400000.0
1385,1038358.0,35654.27,89698.84,100.0,17000.0,16000000.0
1386,1075820.0,41261.94,100033.12,100.0,20000.0,12450000.0
1387,1272333.0,50109.36,138415.83,150.0,24000.0,30100000.0
1388,1179687.0,53819.86,130704.41,100.0,25000.0,18630000.0
1389,1218187.0,64764.15,166724.92,0.0,30000.0,56250000.0
1390,1247888.0,81204.37,174501.12,350.0,40000.0,24000000.0
1391,1225167.0,111428.01,256317.09,600.0,50000.0,80000000.0
1392,1189323.0,142846.88,287473.94,1000.0,75000.0,45000000.0
1393,1207280.0,144548.3,292237.59,1000.0,75000.0,56000000.0
1394,1215711.0,146790.39,305396.56,750.0,75000.0,45500000.0
1395,1231814.0,150940.95,325465.88,500.0,80000.0,66000000.0
1396,1257681.0,165914.8,386695.88,1000.0,88000.0,66000000.0
1397,1220929.0,216154.06,513150.0,1500.0,110000.0,91800000.0
1398,1149157.0,284889.91,700473.06,1000.0,150000.0,120000000.0
1399,1102050.0,397306.81,892634.38,2500.0,200000.0,120000000.0
1400,1127133.0,593367.81,1201522.38,5000.0,320000.0,159000000.0
1401,1081382.0,963649.44,2088367.12,4000.0,500000.0,400000000.0
1402,1085545.0,1301330.62,2872833.0,10000.0,700000.0,400400000.0
