Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,295773,655589.49,510647.29,1001,1021196.0,1234515
1364,311002,616338.46,510167.68,1001,1003001.0,1234425
1365,51809,618757.1,530771.86,1001,1003004.0,1234215
1366,63183,594800.45,524783.68,1002,233009.0,1234210
1367,92676,596936.38,522182.63,1001,233014.0,1234275
1368,136402,591399.95,518808.28,1001,233026.0,1234275
1369,402492,650277.77,509927.67,1001,1013072.0,1234220
1370,407241,645463.5,508433.79,1001,1013007.0,1234220
1371,409859,655802.68,507025.91,1001,1013080.0,1234220
1372,292306,687493.62,503538.7,1001,1021001.0,1234225
1373,470756,786476.94,495478.68,1001,1063048.0,1244040
1374,874879,7527423.36,4999399.39,10001,10620064.0,12440080
1375,503808,687928.38,517466.52,1001,1033049.0,1244035
1376,523101,681347.44,518352.13,1001,1031153.0,1254055
1377,422342,66119180.62,51925658.27,11001,102073044.0,127074100
1378,706456,65759051.1,51632129.99,11001,101053033.0,127074070
1379,720008,64927770.09,51529662.99,11001,101041022.0,127074070
1380,765426,64302903.93,51530307.0,11001,100053048.0,127074070
1381,1037964,65828433.18,51322454.04,11001,101051038.0,127074180
1382,793904,65626918.8,51356382.56,11001,101023003.0,127114115
1383,907142,65482198.42,51307725.48,11001,100073069.0,127114130
1384,970821,66247801.74,51207356.1,11001,101043024.0,129214070
1385,1038358,63721323.31,51629365.02,11001,29121069.0,129214100
1386,1075820,66387469.45,50825263.87,11001,101034012.0,129214115
1387,1272333,1616490637.77,503670290.39,1000001001,1287359005.0,2297861005
1388,1179686,1602652687.13,503748263.46,1000001001,1270147005.0,2290245005
1389,1218187,1619373854.15,503397490.67,1000001171,1280073211.0,2290128464
1390,1247888,1630426489.6,504709075.1,1000001172,1290075114.0,2300127066
1391,1225167,1632678347.79,504159770.97,1000001177,1290102311.0,2300127069
1392,1189323,16269658048.02,5034444937.45,10001000101,12905631816.0,23004664416
1393,1207280,16271931823.08,5033606279.13,10001000108,12905632212.0,23004664416
1394,1215711,16289889099.66,5034893113.54,10001000116,12907634116.0,23004664429
1395,1231814,16279710973.37,5029585735.05,10001000120,12905631626.0,23004664434
1396,1257681,16276035828.72,5032457453.35,10001000126,12904631041.0,23004664440
1397,1220929,16008683524.94,5029737800.44,10001000102,12711342902.0,23006709817
1398,1149157,16018932444.18,5032937632.43,10001000108,12713343811.0,23006709818
1399,1102050,16051520410.09,5022930395.25,10001000113,12801345513.0,23006709829
1400,1127133,16024472747.48,5016869555.24,10001000119,12714344732.0,23006709832
1401,1081382,16050259247.92,5025030028.9,10001000126,12801346538.0,23006709841
