Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,278196.0,3.4,14.95,0.0,1.0,999.0
1364,297774.0,3.22,11.89,0.0,1.0,999.0
1365,50429.0,3.42,11.14,0.0,1.0,900.0
1366,60884.0,3.0,9.89,0.0,1.0,900.0
1367,89136.0,2.92,9.9,0.0,1.0,900.0
1368,131725.0,2.71,9.26,0.0,1.0,999.0
1369,393588.0,17.17,67.27,0.0,4.0,1000.0
1370,391019.0,29.22,1852.95,0.0,4.0,600600.0
1371,409859.0,16.71,103.09,0.0,3.6,30000.0
1372,281175.0,15.88,74.38,0.0,3.6,6000.0
1373,438857.0,15.63,70.15,0.0,4.0,6000.0
1374,816874.0,15.57,78.63,0.0,4.0,22000.0
1375,440220.0,16.41,77.62,0.02,4.0,12000.0
1376,453457.0,16.45,75.94,0.02,4.0,11000.0
1377,366306.0,16.24,78.82,0.05,4.0,12000.0
1378,604040.0,16.04,71.59,0.0,4.0,9000.0
1379,612735.0,14.95,67.63,0.03,4.0,6000.0
1380,646896.0,14.44,66.88,0.02,3.6,8000.0
1381,876685.0,12.77,60.81,0.0,3.0,6000.0
1382,662289.0,12.2,60.01,0.05,3.0,8000.0
1383,705711.0,8.21,28.78,1.0,3.0,5169.0
1384,756252.0,8.0,21.84,0.0,3.0,9000.0
1385,808897.0,7.6,19.12,0.0,3.0,7000.0
1386,828606.0,7.38,17.14,0.0,3.0,2000.0
1387,984080.0,7.04,15.68,0.0,3.0,1650.0
1388,922597.0,6.96,15.21,0.0,3.0,1200.0
1389,963316.0,6.84,16.64,0.0,3.0,7500.0
1390,995036.0,6.4,12.52,0.0,3.0,1000.0
1391,971779.0,6.28,12.76,0.0,3.0,2500.0
1392,934106.0,5.96,11.67,0.0,3.0,1500.0
1393,937731.0,5.79,35.3,0.0,3.0,32000.0
1394,934617.0,5.48,10.59,0.0,3.0,1820.0
1395,945238.0,5.32,18.51,0.0,3.0,15000.0
1396,961587.0,5.26,9.99,0.0,3.0,1200.0
1397,928302.0,5.15,9.59,0.0,3.0,800.0
1398,873469.0,5.23,10.0,0.0,3.0,555.0
1399,832695.0,5.08,9.33,0.0,2.0,1000.0
1400,853008.0,4.87,8.84,0.0,2.0,500.0
1401,817479.0,4.8,9.1,0.0,2.0,500.0
1402,819030.0,4.73,8.91,0.0,2.0,515.0
