Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,392966.0,626.39,1078.68,1.0,200.0,99999.0
1372,281149.0,1601.58,54110.49,1.0,500.0,26666120.0
1373,438856.0,2146.24,26177.75,1.0,800.0,10666667.0
1374,816867.0,3668.82,42656.7,1.0,1142.0,11666667.0
1375,440215.0,3149.62,4709.75,2.0,1350.0,80000.0
1376,453457.0,3668.09,5557.76,2.0,1574.0,72000.0
1377,366306.0,4535.02,6655.92,4.0,2000.0,200000.0
1378,604040.0,5355.15,7763.79,2.0,2200.0,120000.0
1379,612735.0,5981.21,8287.59,10.0,2500.0,220000.0
1380,646896.0,6304.74,8551.17,6.0,3000.0,140000.0
1381,876685.0,7085.75,9223.35,10.0,3500.0,300000.0
1382,662300.0,8169.57,10489.56,15.0,4365.0,500000.0
1383,823470.0,9456.71,11388.14,4.0,5000.0,400000.0
1384,884644.0,10478.23,18607.95,0.0,6000.0,2500000.0
1385,945705.0,11845.23,17975.17,0.0,7143.0,3600000.0
1386,976920.0,13906.26,18578.91,0.0,9000.0,3000000.0
1387,1157593.0,17059.06,20899.09,50.0,10000.0,2500000.0
1388,1072972.0,18681.59,23368.58,63.0,12000.0,2000000.0
1389,1110955.0,21703.71,27362.69,80.0,13000.0,3000000.0
1390,1133418.0,26735.02,30858.02,200.0,16000.0,800000.0
1391,1107457.0,38752.37,48466.79,800.0,20000.0,2000000.0
1392,1071939.0,54167.53,68569.66,400.0,30000.0,6800000.0
1393,1086618.0,58146.3,72945.42,500.0,32000.0,7000000.0
1394,1097903.0,62121.62,77893.44,500.0,35000.0,2000000.0
1395,1114321.0,66428.6,83732.79,3.0,40000.0,3000000.0
1396,1136624.0,73554.74,94416.54,1000.0,40000.0,3000000.0
1397,1105764.0,98903.28,136700.19,1000.0,55000.0,15000000.0
1398,1044647.0,138113.69,200028.53,700.0,75000.0,11000000.0
1399,1000425.0,200588.89,288502.47,1000.0,110000.0,10000000.0
1400,1024337.0,307029.72,407957.88,40.0,170000.0,18000000.0
1401,1081382.0,458806.12,606479.62,0.0,250000.0,30000000.0
1402,1085545.0,644907.12,931682.94,0.0,350000.0,18000000.0
