Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,140285,44908.3,771.13,42113,45122.0,46250
1364,129986,44919.01,733.15,42113,45122.0,49994
1365,19794,45008.39,641.8,42113,45122.0,49994
1366,25933,44982.39,641.56,42113,45122.0,49994
1367,35949,44992.49,613.55,42113,45122.0,49994
1368,54679,44940.4,667.38,42113,45122.0,49994
1369,93959,44950.53,640.72,42113,45133.0,46250
1370,102553,44937.25,652.43,41121,45133.0,46227
1371,99264,44951.58,641.2,41132,45133.0,46227
1372,69356,44972.65,618.29,42113,45133.0,46227
1373,112092,44995.38,614.96,42113,45133.0,46227
1374,203063,44981.7,610.41,42113,45133.0,46227
1375,122378,45000.56,584.11,42113,45133.0,46227
1376,124613,45003.36,576.65,42113,45133.0,46227
1377,100565,45004.25,578.16,42113,45133.0,46227
1378,167718,44976.15,605.57,42113,45133.0,46238
1379,167927,44977.37,604.64,42113,45133.0,46238
1380,181241,44951.13,632.95,42113,45133.0,46238
1381,231860,44933.17,657.94,42113,45133.0,46261
1382,177606,44918.21,688.95,42113,45133.0,46261
1383,220236,55752.22,896.01,52111,56116.0,56219
1384,224538,55778.25,864.34,52111,56116.0,56219
1385,229205,55816.96,821.85,52111,56116.0,56219
1386,229663,55827.8,816.36,52111,56116.0,56215
1387,258180,55850.9,782.06,52111,56116.0,56215
1388,229173,55871.58,761.23,52111,56116.0,56215
1389,229333,55924.8,682.14,52111,56116.0,56215
1390,222368,55911.66,711.37,52111,56116.0,56215
1391,219072,55931.04,679.24,52111,56116.0,56215
1392,208271,55940.42,657.47,52111,56116.0,56215
1393,203190,55939.48,651.95,52111,56116.0,56215
1394,209442,55942.43,650.38,52111,56116.0,56215
1395,204035,55944.73,637.78,52111,56116.0,56215
1396,208478,55951.13,623.1,52111,56116.0,56215
1397,198686,55976.7,570.38,52111,56116.0,56215
1398,183177,56002.07,514.13,52111,56116.0,56215
1399,188779,56008.77,498.47,52111,56116.0,56215
1400,184265,56004.42,507.06,52111,56116.0,56215
1401,171054,56009.71,501.99,52111,56116.0,56215
1402,167022,56013.69,488.56,52111,56116.0,56215
