Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,140285.0,561.13,1966.75,3.0,200.0,100000.0
1364,129986.0,613.18,2443.39,3.0,200.0,318000.0
1365,19794.0,721.49,3445.53,5.0,250.0,350000.0
1366,25933.0,815.73,2405.89,6.0,325.0,153000.0
1367,35949.0,816.76,3350.28,10.0,320.0,268000.0
1368,54679.0,1155.55,6607.43,5.0,400.0,1000000.0
1369,93959.0,1220.77,5629.33,2.0,450.0,750000.0
1370,102548.0,1444.1,7393.94,7.0,500.0,900000.0
1371,99264.0,1762.58,7212.75,0.0,700.0,1000000.0
1372,69356.0,2184.12,6860.37,1.0,1000.0,500000.0
1373,112092.0,3146.29,12457.49,20.0,1400.0,1200000.0
1374,203052.0,4912.78,22580.62,1.0,2000.0,4000000.0
1375,122377.0,5478.51,31618.46,15.0,2400.0,8200000.0
1376,124613.0,6049.78,25027.69,50.0,2800.0,2000000.0
1377,100565.0,7074.3,28887.12,50.0,3000.0,3000000.0
1378,167718.0,8039.67,32050.18,50.0,3500.0,2500000.0
1379,167927.0,9352.58,36508.0,40.0,4000.0,3000000.0
1380,181241.0,10801.2,46421.49,100.0,4500.0,6000000.0
1381,231860.0,11863.68,45830.34,85.0,5000.0,6000000.0
1382,177606.0,13029.18,50768.15,100.0,5500.0,6900000.0
1383,220236.0,14337.13,68953.62,100.0,5000.0,15000000.0
1384,224457.0,16961.92,82773.71,100.0,6000.0,13700000.0
1385,229205.0,19102.91,93830.9,0.0,7000.0,10000000.0
1386,229663.0,21371.51,127443.8,100.0,8000.0,36000000.0
1387,258180.0,26029.54,133422.67,150.0,10000.0,25000000.0
1388,229173.0,28716.82,127148.13,250.0,12000.0,12000000.0
1389,229333.0,31624.11,144878.28,250.0,15000.0,12500000.0
1390,222368.0,36973.13,165469.47,250.0,17000.0,15000000.0
1391,219072.0,49626.31,228590.5,500.0,24000.0,29150000.0
1392,208271.0,68015.34,300836.72,500.0,35000.0,46500000.0
1393,203190.0,73154.73,329216.28,1000.0,40000.0,45000000.0
1394,209442.0,75192.03,449192.72,500.0,40000.0,72000000.0
1395,204035.0,76126.07,389679.44,1000.0,40000.0,100000000.0
1396,208478.0,83695.41,431917.19,1000.0,49500.0,70000000.0
1397,198686.0,113257.59,526232.81,1500.0,60000.0,90000000.0
1398,183177.0,152759.08,531434.19,2000.0,100000.0,60000000.0
1399,188779.0,219938.47,799293.69,3500.0,150000.0,60000000.0
1400,184265.0,318544.19,980230.31,5000.0,200000.0,100000000.0
1401,171054.0,483609.66,1795210.38,10000.0,300000.0,200000000.0
