Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,140285,714043.84,501068.35,1001,1033202.0,1234515
1364,129986,672424.16,505972.11,1001,1023053.0,1234425
1365,19794,648538.62,531310.93,1001,1022029.0,1234215
1366,25933,658046.45,524724.25,1001,1023026.0,1234210
1367,35949,658122.19,520985.99,1001,1024025.0,1234275
1368,54679,640789.26,516546.05,1001,1004029.0,1234275
1369,93959,615164.86,512691.8,1001,1004026.0,1234220
1370,102553,609291.23,510552.02,1001,1003036.0,1234220
1371,99264,621823.25,510040.73,1001,1004077.0,1234220
1372,69356,655802.77,508032.27,1001,1012130.0,1234225
1373,112092,750240.04,505512.23,1001,1053073.0,1244040
1374,203063,7161140.21,5078274.2,10001,10440009.0,12440080
1375,122378,646583.39,520644.58,1001,1021090.0,1244035
1376,124613,643170.75,519870.49,1001,1014053.0,1254055
1377,100565,61745367.17,51876654.83,11001,27064170.0,127074100
1378,167718,61885527.62,51543297.58,11001,26033087.0,127074070
1379,167927,60659046.18,51290860.11,11001,26024060.0,127074070
1380,181241,60568630.51,51301358.12,11001,26032111.0,127074070
1381,231860,61793697.44,51259006.91,11001,27034014.0,127074180
1382,177606,61292759.8,51275651.01,11001,26043100.0,127114115
1383,220236,62045722.54,51327233.44,11002,27034023.5,127114130
1384,224538,62416749.45,51138031.03,11001,28024011.0,129214070
1385,229205,59361665.54,51406855.45,11001,27034012.0,129214100
1386,229663,62258403.34,50842628.86,11001,28252114.0,129214115
1387,258180,1647526951.75,504938951.86,1000001001,2000166003.0,2297861005
1388,229173,1630351390.95,505013683.85,1000001001,1290027001.0,2290245005
1389,229333,1650914811.21,504697672.1,1000001171,2000096156.0,2290128464
1390,222368,1660530438.91,506162567.26,1000001172,2000135015.0,2300127066
1391,219072,1665101908.74,504484698.19,1000001177,2000155113.0,2300127069
1392,208271,16536823429.56,5040254705.32,10001000101,20003013016.0,23004664416
1393,203190,16550334896.71,5038996948.86,10001000108,20004014216.0,23004664416
1394,209442,16540612654.65,5037334721.95,10001000116,20004013829.0,23004664429
1395,204035,16531023818.55,5045736697.02,10001000120,20004014332.0,23004664434
1396,208478,16518538691.24,5047327760.81,10001000126,20001511884.5,23004664440
1397,198686,16287372645.94,5056606454.15,10001000102,12903360611.0,23006709817
1398,183177,16268452516.44,5053496210.72,10001000108,12902360120.0,23006709818
1399,188779,16215211124.52,5049320343.79,10001000113,12807356626.0,23006709829
1400,184265,16234257296.23,5039706936.57,10001000119,12902360326.0,23006709827
1401,171054,16229276899.31,5042152963.43,10001000126,12901359629.0,23006709841
1402,167022,16163389236.74,5044193307.68,10001000132,12804353247.0,23006709847
