Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,105011,31866.52,449.22,31117,32120.0,32197
1364,86711,31809.83,480.28,31117,32120.0,39990
1365,17467,31800.08,481.74,31117,32120.0,32197
1366,18705,31817.82,475.57,31117,32120.0,32197
1367,27304,31822.52,474.42,31117,32120.0,32197
1368,37722,31822.26,475.74,31117,32120.0,39990
1369,57020,31804.79,482.08,31117,32120.0,32255
1370,63056,31830.84,470.22,31117,32120.0,33189
1371,60504,31819.02,474.62,31117,32120.0,32244
1372,40270,31806.4,476.91,31117,32120.0,32244
1373,65382,31815.12,471.4,31117,32120.0,32266
1374,123617,31823.18,469.01,31117,32120.0,32244
1375,75902,31829.68,465.29,31117,32120.0,32244
1376,77940,31833.21,462.65,31117,32120.0,32244
1377,61337,31830.05,463.06,31117,32120.0,32244
1378,99772,31843.34,458.14,31117,32120.0,32266
1379,98895,31844.47,457.39,31117,32120.0,32266
1380,100542,31848.34,454.82,31117,32120.0,32266
1381,123064,31855.93,450.26,31117,32120.0,32266
1382,89237,31857.2,448.93,31117,32120.0,32266
1383,96406,44108.99,1356.19,41111,45111.0,45414
1384,104925,44088.5,1359.73,41111,45111.0,45414
1385,118899,44072.68,1363.55,41111,45111.0,45414
1386,119605,44054.18,1372.41,41111,44418.0,45414
1387,148744,44042.05,1365.32,41111,44413.0,45414
1388,136573,44027.45,1367.56,41111,44411.0,45419
1389,141226,44010.56,1368.57,41111,44411.0,45414
1390,151724,44051.67,1341.21,41111,44411.0,45414
1391,150797,44056.66,1334.35,41111,44411.0,45414
1392,151348,44045.95,1340.05,41111,44312.0,45414
1393,151657,44051.08,1329.88,41111,44311.0,45414
1394,154268,44062.63,1318.15,41111,44311.0,45414
1395,154517,44061.44,1313.93,41111,44311.0,45414
1396,155522,44060.35,1306.67,41111,44311.0,45414
1397,160332,44048.28,1312.23,41111,44311.0,45414
1398,155017,44039.32,1310.68,41111,44311.0,45414
1399,151683,44034.36,1310.88,41111,44311.0,45414
1400,155386,44042.4,1305.75,41111,44311.0,45414
1401,156872,44047.44,1300.16,41111,44311.0,45414
1402,157853,44052.96,1294.11,41111,44311.0,45414
