Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,105011.0,3861.43,9261.95,6.0,450.0,190000.0
1364,86711.0,4971.58,10492.8,10.0,900.0,314620.0
1365,17467.0,5898.41,12398.46,15.0,1000.0,200000.0
1366,18705.0,6258.08,15550.59,20.0,1200.0,1300000.0
1367,27304.0,7126.33,15007.83,11.0,1399.5,300000.0
1368,37722.0,7959.17,18762.75,10.0,1500.0,1000000.0
1369,57020.0,10244.42,27263.12,16.0,1606.5,2000000.0
1370,63050.0,13676.98,178382.2,6.0,2200.0,30000321.0
1371,60504.0,16651.82,40088.95,0.0,3570.0,4000000.0
1372,40270.0,22633.86,54905.76,17.0,4200.0,2500000.0
1373,65382.0,34344.67,83795.24,75.0,5000.0,7500000.0
1374,123499.0,38679.37,91468.82,1.0,6500.0,5500000.0
1375,75901.0,52651.78,146433.95,1.0,9000.0,9600000.0
1376,77939.0,63641.41,161471.0,1.0,12000.0,7500000.0
1377,61337.0,77681.68,198869.31,1.0,15000.0,15000000.0
1378,99772.0,83204.12,194684.0,1.0,20000.0,8000000.0
1379,98895.0,93435.79,229409.47,1.0,25000.0,16000000.0
1380,100542.0,107735.46,261154.88,1.0,28000.0,15000000.0
1381,123064.0,125130.78,333925.75,1.0,30000.0,22500000.0
1382,89237.0,153151.03,454711.06,400.0,37500.0,50000000.0
1383,96406.0,174764.73,508463.0,125.0,43000.0,81000000.0
1384,104742.0,192372.48,426734.53,213.0,45000.0,15000000.0
1385,118899.0,219742.98,546043.0,400.0,49000.0,35000000.0
1386,119605.0,280016.25,704794.0,1.0,50000.0,35000000.0
1387,148744.0,334949.34,801196.19,300.0,58000.0,60000000.0
1388,136573.0,330016.91,679674.12,750.0,60000.0,30000000.0
1389,141226.0,416925.37,1425543.47,0.0,78000.0,400070389.0
1390,151724.0,506838.88,1187382.25,0.0,150000.0,200000000.0
1391,150797.0,586592.69,1383851.12,1000.0,150000.0,55000000.0
1392,151348.0,679568.31,1576521.88,1930.0,170000.0,45000000.0
1393,151657.0,800080.5,1802387.25,1000.0,205000.0,80000000.0
1394,154268.0,879444.38,1970400.75,1500.0,240000.0,62500000.0
1395,154517.0,958000.81,2256121.25,5000.0,259000.0,105000000.0
1396,155522.0,1038322.73,2446332.21,4000.0,280000.0,110000000.0
1397,160332.0,1261829.38,3202832.0,5000.0,300000.0,300000000.0
1398,155017.0,1614470.75,4170074.0,4000.0,320000.0,200000000.0
1399,151683.0,2193485.5,5999106.0,7000.0,390000.0,800000000.0
1400,155386.0,3204085.75,8190000.0,2000.0,420000.0,300000000.0
1401,156872.0,5001475.0,12940207.0,4000.0,500000.0,500000000.0
