Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,105011,704122.16,502267.22,1001,1032115.0,1234515
1364,86711,629622.11,508932.64,1001,1012010.0,1234425
1365,17467,610271.7,526381.47,1001,1002004.0,1234215
1366,18705,594504.87,523480.98,1001,233001.0,1234210
1367,27304,602979.18,521058.62,1001,233038.0,1234275
1368,37722,588504.25,515416.77,1001,232017.5,1234275
1369,57020,600995.71,510573.05,1001,1001071.0,1234220
1370,63056,600016.68,509439.56,1001,1001048.5,1234220
1371,60504,597029.47,508370.28,1001,234014.0,1234220
1372,40270,625845.63,509076.93,1001,1003066.0,1234225
1373,65382,722199.92,511008.82,1001,1042097.0,1244040
1374,123617,6760359.08,5099742.01,10001,10310092.0,12440080
1375,75902,611038.62,519119.49,1001,243045.0,1244035
1376,77940,608890.22,519127.69,1001,243055.0,1254055
1377,61337,58568107.46,51617915.28,11001,24041044.0,127074100
1378,99772,59134043.75,51215420.09,11001,25011002.5,127074070
1379,98895,57152714.63,50902023.75,11001,24011014.0,127074070
1380,100542,57347056.54,51099870.13,11001,24012021.0,127074070
1381,123064,59592688.81,51132340.97,11001,26011029.0,127074180
1382,89237,59893740.78,51126545.39,11001,25014073.0,127114115
1383,96406,60596195.04,51124091.74,11001,26022043.0,127114130
1384,104925,63125018.2,51258839.59,11001,28132062.0,129214070
1385,118899,60477706.57,51410341.43,11001,27082102.0,129214100
1386,119605,63436605.06,50873483.08,11001,29033077.0,129214115
1387,148744,1640149436.53,504955062.51,1000001001,1297638002.0,2297861005
1388,136573,1627111773.7,504437166.58,1000001001,1280149005.0,2290245005
1389,141226,1645018334.74,503014301.16,1000001171,2000004147.5,2290128464
1390,151724,1651037621.03,504185837.41,1000001172,2000015016.0,2300127066
1391,150797,1648854232.83,504900361.76,1000001177,2000002334.0,2300127069
1392,151348,16340542126.47,5045818477.19,10001000101,12911451613.0,23004664416
1393,151657,16297507133.45,5049709815.67,10001000108,12905632408.0,23004664416
1394,154268,16268313441.66,5041031891.91,10001000116,12905631829.0,23004664429
1395,154517,16265070923.91,5041311040.46,10001000120,12904631329.0,23004664434
1396,155522,16233980142.46,5037082082.52,10001000126,12903629530.5,23004664440
1397,160332,15911048225.88,5014934388.19,10001000102,12709339502.0,23006709817
1398,155017,15933497868.95,5017052627.27,10001000108,12710340615.0,23006709818
1399,151683,15990269639.08,5010872411.95,10001000113,12714344429.0,23006709829
1400,155386,15977765270.36,5006915466.72,10001000119,12713343629.0,23006709832
1401,156872,15963242905.97,5005550491.49,10001000126,12711342132.0,23006709841
