Year,Purchase,,Donation,Home_Production,Instead_of_Private_Service,Instead_of_Public_Service,Non_Agricultural_Work,Agricultural_Work,Instead_of_Cooperative_Service,Purchase_Subsidised_Price,Purchase_Free_Price
1363,,,2.37,4.36,0.13,0.53,0.04,0.84,,61.38,30.34
1364,,,3.42,4.59,0.21,0.64,0.08,1.5,,51.6,37.97
1365,,,3.18,4.85,0.15,0.42,0.06,1.13,,49.99,40.22
1366,,,2.72,4.87,0.14,0.59,0.05,1.14,,50.32,40.17
1367,,,2.59,4.83,0.12,0.47,0.06,1.3,,49.87,40.76
1368,,0.0,2.43,3.14,0.14,0.54,0.06,1.97,,50.06,41.67
1369,93.31,0.18,1.82,2.44,0.12,0.84,0.06,1.24,,,
1370,93.62,0.04,1.73,2.22,0.14,0.84,0.07,1.34,,,
1371,93.19,0.06,2.19,2.17,0.2,0.63,0.07,1.49,,,
1372,94.34,0.04,2.1,2.14,0.15,0.45,0.02,0.75,,,
1373,94.51,0.02,1.98,1.77,0.14,0.8,0.03,0.74,,,
1374,93.77,0.0,1.95,2.56,0.15,0.58,0.07,0.92,,,
1375,93.94,0.0,1.98,2.44,0.21,0.56,0.05,0.83,,,
1376,93.63,,2.36,2.46,0.17,0.69,0.04,0.64,,,
1377,71.18,23.11,2.4,1.89,0.15,0.78,0.04,0.45,,,
1378,71.64,22.43,2.2,2.32,0.18,0.66,0.04,0.53,,,
1379,72.12,21.61,2.28,2.54,0.2,0.67,0.04,0.52,0.01,,
1380,73.2,21.3,1.97,2.34,0.21,0.58,0.03,0.36,0.01,,
1381,74.63,20.77,1.88,1.75,0.2,0.46,0.03,0.27,0.01,,
1382,74.68,20.49,2.1,1.8,0.25,0.48,0.02,0.16,0.01,,
1383,75.68,20.1,1.81,1.39,0.24,0.51,0.03,0.23,0.01,,
1384,75.81,19.99,1.82,1.37,0.34,0.49,0.03,0.15,0.01,,
1385,75.26,20.28,1.97,1.47,0.37,0.43,0.03,0.17,0.01,,
1386,75.55,20.1,2.0,1.41,0.43,0.39,0.03,0.09,0.01,,
1387,75.38,19.98,2.38,1.43,0.34,0.4,0.02,0.06,0.01,,
1388,74.69,20.8,2.53,1.19,0.31,0.39,0.02,0.07,0.01,,
1389,74.91,20.97,2.32,1.07,0.28,0.36,0.01,0.06,0.01,,
1390,76.67,19.86,1.9,0.85,0.3,0.32,0.01,0.05,0.02,,
1391,76.61,20.17,1.76,0.85,0.27,0.27,0.01,0.04,0.02,,
1392,77.21,19.46,2.24,0.68,0.17,0.22,0.01,0.02,,,
1393,77.2,19.64,2.23,0.55,0.14,0.19,0.02,0.02,0.0,,
1394,77.6,19.62,1.96,0.48,0.14,0.17,0.01,0.02,0.0,,
1395,77.75,19.52,1.88,0.5,0.14,0.2,0.01,0.02,0.0,,
1396,78.23,19.34,1.87,0.25,0.14,0.16,0.01,0.0,0.0,,
1397,78.82,18.51,2.05,0.22,0.2,0.19,0.0,0.0,0.0,,
1398,78.16,19.34,1.97,0.19,0.16,0.17,0.01,0.0,0.0,,
1399,78.04,19.45,1.97,0.21,0.16,0.15,0.01,0.0,0.0,,
1400,78.25,19.32,1.87,0.22,0.19,0.13,0.01,0.0,0.0,,
1401,78.34,19.33,1.84,0.18,0.19,0.12,0.01,0.01,,,
1402,77.95,19.35,2.25,0.2,0.12,0.12,0.01,0.01,0.0,,
