Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1384,2212.0,15961438.0,19654966.0,5000.0,10000000.0,250000000.0
1385,2503.0,18672904.0,25365132.0,1.0,10000000.0,350000000.0
1386,2737.0,22706512.0,32383754.0,1500.0,10000000.0,650000000.0
1387,3545.0,29362818.0,50896188.0,1.0,15000000.0,2000000000.0
1388,3132.0,27877764.0,44196044.0,1.0,15000000.0,1400000000.0
1389,3520.0,34535436.0,53167656.0,400000.0,20000000.0,1500000000.0
1390,3628.0,40237116.0,50101288.0,5.0,20000000.0,580000000.0
1391,3512.0,48403256.0,66099888.0,20000.0,30000000.0,1500000000.0
1392,3962.0,65631212.0,94874760.0,20000.0,40000000.0,1900000000.0
1393,3760.0,78684040.0,133480400.0,1.0,40000000.0,5000000000.0
1394,3609.0,91268168.0,126463768.0,0.0,50000000.0,1600000000.0
1395,3692.0,107532768.0,166358048.0,130000.0,50000000.0,3500000000.0
1396,3822.0,118252176.0,168101296.0,1.0,60000000.0,2500000000.0
1397,4529.0,142430536.54,209163591.38,1.0,75000000.0,4000000000.0
1398,4103.0,181706726.79,293969402.95,500000.0,100000000.0,6500000000.0
1399,3948.0,236823522.46,333194911.76,300000.0,125000000.0,7000000000.0
1400,3919.0,343947231.44,465096191.3,100000.0,200000000.0,8000000000.0
1401,3969.0,557087503.15,733714210.35,5000000.0,300000000.0,9500000000.0
1402,3832.0,869281876.3,1138631209.16,3150000.0,500000000.0,13000000000.0
