Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,44140,111140.55,85.72,111111,111133.0,112016
1384,42614,111140.69,84.04,111111,111133.0,112016
1385,42346,111142.37,91.17,111111,111133.0,112016
1386,42653,111140.87,86.3,111111,111133.0,112016
1387,49159,111138.31,70.6,111111,111133.0,112016
1388,37786,111142.59,92.56,111111,111133.0,112016
1389,35328,111140.15,82.91,111111,111133.0,112016
1390,37164,111139.15,78.37,111111,111133.0,112016
1391,36728,111139.25,78.17,111111,111133.0,112016
1392,33430,111138.49,76.43,111111,111133.0,112016
1393,33561,111139.08,78.67,111111,111133.0,112016
1394,30753,111138.41,72.67,111111,111133.0,112016
1395,32827,111138.29,76.63,111111,111133.0,112016
1396,33768,111137.1,75.82,111111,111133.0,112016
1397,35795,111138.01,81.17,111111,111133.0,112016
1398,29749,111137.56,76.9,111111,111133.0,112016
1399,16819,111134.45,46.5,111111,111133.0,112016
1400,24137,111133.77,46.81,111111,111133.0,112015
1401,23911,111137.82,74.3,111111,111133.0,112016
