Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,44140.0,28032.56,107322.98,240.0,10000.0,7000000.0
1384,42557.0,34819.09,194253.8,500.0,12000.0,24000000.0
1385,42346.0,43866.95,258239.7,0.0,15000.0,25000000.0
1386,42653.0,48827.28,343025.25,1000.0,16000.0,40000000.0
1387,49159.0,48406.95,354489.97,1000.0,18500.0,55000000.0
1388,37786.0,65805.38,619999.5,1000.0,20000.0,65000000.0
1389,35328.0,79166.48,703086.19,1000.0,30000.0,100000000.0
1390,37164.0,90784.32,647541.69,1000.0,35000.0,80000000.0
1391,36728.0,121858.76,959582.88,2000.0,48000.0,100000000.0
1392,33430.0,149542.02,930432.19,2000.0,60000.0,60000000.0
1393,33561.0,190492.84,1975764.38,2000.0,70000.0,180000000.0
1394,30753.0,188302.92,2189910.25,3500.0,70000.0,240000000.0
1395,32827.0,223952.03,2688118.25,4000.0,80000.0,200000000.0
1396,33768.0,270043.62,3282338.75,4950.0,100000.0,350000000.0
1397,35795.0,321157.19,3355076.5,5000.0,120000.0,300000000.0
1398,29749.0,373307.5,2909673.5,10000.0,150000.0,350000000.0
1399,16819.0,429030.84,1893018.75,10000.0,200000.0,125000000.0
1400,24137.0,646397.5,2152062.75,15000.0,300000.0,140000000.0
1401,23911.0,1292503.88,9062899.0,20000.0,500000.0,1000000000.0
