Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1383,44140,63080878.39,51782398.79,11004,27092611.0,127114130
1384,42614,62399582.05,51491921.0,11004,27112137.0,129211068
1385,42346,59058931.75,51692926.2,11004,27062065.0,129213100
1386,42653,64078651.46,50998704.0,11006,101024002.0,129213113
1387,49159,1633002583.14,505351486.24,1000001001,2010412002.0,2297853003
1388,37786,1609531363.84,506803238.28,1000002001,1270127003.0,2290245004
1389,35328,1609075316.5,504531085.98,1000001172,1270107174.0,2290128451
1390,37164,1598642566.48,501511564.11,1000001180,1270084111.0,2300127066
1391,36728,1606209175.53,501126801.61,1000001180,1270137016.0,2300127066
1392,33430,16024120589.62,4991699743.9,10001000105,12802606205.0,23004664316
1393,33561,16015345961.05,4986802778.94,10001000117,12801603612.0,23004664413
1394,30753,16114575113.05,5021120164.16,10001000117,12803608013.0,23004664429
1395,32827,15940284638.02,4989166836.5,10001000132,12708586429.0,23004664434
1396,33768,15754334006.13,4997921220.01,10001000126,12603565439.5,23004664440
1397,35795,15460811890.21,4958923216.8,10001000102,12501315702.0,23006709814
1398,29749,15428391910.56,4998430361.17,10001000108,12501310611.0,23006709323
1399,16819,15573802811.24,5027397369.68,10001000116,12703330026.0,23006709420
1400,24137,15412647612.85,4954733357.83,10001000120,12501316830.0,23006709732
1401,23911,15482022365.15,4953291292.83,10001000126,12701327333.0,23006709841
