Year,Purchase,Instead_of_Private_Service,Non_Agricultural_Work,Instead_of_Public_Service,Donation,Agricultural_Work,Home_Production,Instead_of_Cooperative_Service
1383,94.66,3.09,0.46,1.42,0.31,0.02,0.01,0.04
1384,96.03,2.0,0.51,1.13,0.31,0.0,0.02,0.0
1385,95.96,1.76,0.48,1.05,0.72,0.0,0.0,0.01
1386,96.45,1.36,0.51,0.89,0.76,0.0,0.01,0.01
1387,97.15,1.06,0.4,0.55,0.84,,,0.0
1388,96.5,1.25,0.56,0.58,1.1,0.0,,0.0
1389,96.62,1.2,0.61,0.53,1.04,,,
1390,97.38,1.0,0.52,0.37,0.73,0.0,,0.01
1391,97.48,1.21,0.53,0.34,0.43,,0.01,0.0
1392,97.79,1.24,0.48,0.22,0.26,,0.01,0.0
1393,98.24,0.99,0.42,0.2,0.14,,,
1394,98.39,0.86,0.53,0.14,0.08,,,
1395,98.26,0.9,0.55,0.17,0.1,0.01,0.01,0.01
1396,98.42,0.84,0.54,0.11,0.09,,0.0,
1397,98.28,0.86,0.56,0.14,0.15,,0.01,0.0
1398,98.07,0.98,0.71,0.1,0.13,,0.0,
1399,96.98,1.91,0.86,0.17,0.08,,0.01,
1400,98.01,1.3,0.54,0.13,0.02,,,
1401,97.79,1.65,0.43,0.09,0.04,0.0,0.0,
