Year,Missing,True,False
1369,0.0,20.09,79.91
1370,0.0,21.0,79.0
1371,0.0,21.43,78.57
1372,0.0,25.27,74.73
1373,0.0,33.92,66.08
1374,0.0,31.18,68.82
1375,0.0,30.24,69.76
1376,0.0,31.33,68.67
1377,0.0,32.19,67.81
1378,0.0,32.68,67.32
1379,0.0,33.41,66.59
1380,0.0,34.69,65.31
1381,0.0,34.61,65.39
1382,0.0,38.0,62.0
1383,59.7,40.3,0.0
1384,59.43,40.57,0.0
1385,0.0,0.0,100.0
1386,65.57,0.0,34.43
1387,65.69,0.0,34.31
1388,64.92,0.0,35.08
1389,63.3,0.0,36.7
1390,61.16,0.0,38.84
1391,59.83,40.17,0.0
1392,59.74,40.26,0.0
1393,59.96,40.04,0.0
1394,58.42,41.58,0.0
1395,57.65,42.35,0.0
1396,55.1,44.9,0.0
1397,56.85,43.15,0.0
1398,56.98,43.02,0.0
1399,56.57,43.43,0.0
1400,59.91,40.09,0.0
1401,57.26,42.74,0.0
