Year,True,Missing,False
1369,41.28,0.0,58.72
1370,42.41,0.0,57.59
1371,43.93,0.0,56.07
1372,48.74,0.0,51.26
1373,57.44,0.0,42.56
1374,56.54,0.0,43.46
1375,56.37,0.0,43.63
1376,58.5,0.0,41.5
1377,59.21,0.0,40.79
1378,60.1,0.0,39.9
1379,61.86,0.0,38.14
1380,65.21,0.0,34.79
1381,68.14,0.0,31.86
1382,71.74,0.0,28.26
1383,75.63,24.37,0.0
1384,78.32,21.68,0.0
1385,78.9,0.0,21.1
1386,81.63,18.31,0.06
1387,84.28,15.7,0.02
1388,86.42,13.58,0.0
1389,86.51,13.49,0.0
1390,89.87,10.13,0.0
1391,91.48,8.52,0.0
1392,92.53,7.47,0.0
1393,89.83,10.17,0.0
1394,91.16,8.84,0.0
1395,91.54,8.46,0.0
1396,96.23,3.77,0.0
1397,96.26,3.74,0.0
1398,96.49,3.51,0.0
1399,97.25,2.75,0.0
1400,90.81,9.19,0.0
1401,97.84,2.16,0.0
1402,98.33,1.67,0.0
