Year,Missing,True,False
1369,0.0,12.88,87.12
1370,0.0,12.69,87.31
1371,0.0,12.26,87.74
1372,0.0,12.96,87.04
1373,0.0,15.31,84.69
1374,0.0,14.13,85.87
1375,0.0,13.42,86.58
1376,0.0,12.72,87.28
1377,0.0,12.94,87.06
1378,0.0,14.45,85.55
1379,0.0,14.73,85.27
1380,0.0,15.69,84.31
1381,0.0,17.2,82.8
1382,0.0,18.78,81.22
1383,81.12,18.88,0.0
1384,81.87,18.13,0.0
1385,0.0,15.5,84.5
1386,85.61,14.39,0.0
1387,89.29,10.71,0.0
1388,89.52,10.48,0.0
1389,90.28,9.72,0.0
1390,90.22,9.78,0.0
1391,90.41,9.59,0.0
1392,92.38,7.62,0.0
1393,92.15,7.85,0.0
1394,91.74,8.26,0.0
1395,91.45,8.55,0.0
1396,90.14,9.86,0.0
1397,89.81,10.19,0.0
1398,89.67,10.33,0.0
1399,90.75,9.25,0.0
1400,91.7,8.3,0.0
1401,91.09,8.91,0.0
1402,91.03,8.97,0.0
