Year,Missing,True,False
1369,0.0,57.08,42.92
1370,0.0,58.94,41.06
1371,0.0,58.63,41.37
1372,0.0,58.96,41.04
1373,0.0,57.39,42.61
1374,0.0,57.02,42.98
1375,0.0,54.83,45.17
1376,0.0,52.28,47.72
1377,0.0,47.49,52.51
1378,0.0,45.36,54.64
1379,0.0,41.26,58.74
1380,0.0,34.74,65.26
1381,0.0,27.41,72.59
1382,0.0,18.59,81.41
1383,87.47,12.53,0.0
1384,90.82,9.18,0.0
1385,0.0,6.62,93.38
1386,95.52,4.48,0.0
1387,96.69,3.31,0.0
1388,97.33,2.67,0.0
1389,98.25,1.75,0.0
1390,98.58,1.42,0.0
1391,98.91,1.09,0.0
1392,99.0,1.0,0.0
1393,99.08,0.92,0.0
1394,99.2,0.8,0.0
1395,99.22,0.78,0.0
1396,99.31,0.69,0.0
1397,99.29,0.71,0.0
1398,99.42,0.58,0.0
1399,99.5,0.5,0.0
1400,99.6,0.4,0.0
1401,99.31,0.69,0.0
1402,99.48,0.52,0.0
