Year,Missing,True,False
1369,0.0,8.44,91.56
1370,0.0,8.43,91.57
1371,0.0,8.26,91.74
1372,0.0,9.03,90.97
1373,0.0,12.1,87.9
1374,0.0,10.91,89.09
1375,0.0,10.29,89.71
1376,0.0,10.48,89.52
1377,0.0,10.92,89.08
1378,0.0,10.44,89.56
1379,0.0,10.4,89.6
1380,0.0,11.16,88.84
1381,0.0,12.22,87.78
1382,0.0,13.91,86.09
1383,83.91,16.09,0.0
1384,82.4,17.6,0.0
1385,0.0,19.4,80.6
1386,78.9,21.1,0.0
1387,77.47,22.53,0.0
1388,76.73,23.27,0.0
1389,73.3,26.7,0.0
1390,70.71,29.29,0.0
1391,68.84,31.16,0.0
1392,67.82,32.18,0.0
1393,67.74,32.26,0.0
1394,67.21,32.79,0.0
1395,66.43,33.57,0.0
1396,62.06,37.94,0.0
1397,58.19,41.81,0.0
1398,58.38,41.62,0.0
1399,57.91,42.09,0.0
1400,59.5,40.5,0.0
1401,55.35,44.65,0.0
