Year,Missing,True,False
1369,0.0,51.63,48.37
1370,0.0,57.63,42.37
1371,0.0,61.33,38.67
1372,0.0,66.75,33.25
1373,0.0,70.04,29.96
1374,0.0,64.75,35.25
1375,0.0,63.17,36.83
1376,0.0,63.42,36.58
1377,0.0,61.15,38.85
1378,0.0,59.17,40.83
1379,0.0,59.06,40.94
1380,0.0,61.28,38.72
1381,0.0,62.94,37.06
1382,0.0,64.15,35.85
1383,37.92,62.08,0.0
1384,43.9,56.1,0.0
1385,0.0,50.36,49.64
1386,50.07,49.93,0.0
1387,58.57,41.43,0.0
1388,64.8,35.2,0.0
1389,71.32,28.68,0.0
1390,77.62,22.38,0.0
1391,81.87,18.13,0.0
1392,88.58,11.42,0.0
1393,91.57,8.43,0.0
1394,92.01,7.99,0.0
1395,93.85,6.15,0.0
1396,94.3,5.7,0.0
1397,94.16,5.84,0.0
1398,95.88,4.12,0.0
1399,96.63,3.37,0.0
1400,97.31,2.69,0.0
1401,97.16,2.84,0.0
1402,96.43,3.57,0.0
