Year,True,Missing,False
1377,0.89,0.0,99.11
1378,1.08,0.0,98.92
1379,1.79,0.0,98.21
1380,3.62,0.0,96.38
1381,5.17,0.0,94.83
1382,7.91,0.0,92.09
1383,10.45,89.55,0.0
1384,17.01,82.99,0.0
1385,25.5,0.0,74.5
1386,45.05,54.95,0.0
1387,62.05,37.95,0.0
1388,72.56,27.44,0.0
1389,78.11,21.89,0.0
1390,83.25,16.75,0.0
1391,86.32,13.68,0.0
1392,88.73,11.27,0.0
1393,85.93,14.07,0.0
1394,86.75,13.25,0.0
1395,86.9,13.1,0.0
1396,91.72,8.28,0.0
1397,93.38,6.62,0.0
1398,93.35,6.65,0.0
1399,94.56,5.44,0.0
1400,88.47,11.53,0.0
1401,94.88,5.12,0.0
