Year,Missing,True,False
1369,0.0,3.06,96.94
1370,0.0,3.04,96.96
1371,0.0,3.12,96.88
1372,0.0,3.48,96.52
1373,0.0,6.02,93.98
1374,0.0,4.44,95.56
1375,0.0,5.42,94.58
1376,0.0,5.24,94.76
1377,0.0,5.0,95.0
1378,0.0,4.05,95.95
1379,0.0,3.62,96.38
1380,0.0,3.71,96.29
1381,0.0,3.2,96.8
1382,0.0,3.24,96.76
1383,97.77,2.23,0.0
1384,97.93,2.07,0.0
1385,0.0,0.0,100.0
1386,98.4,0.0,1.6
1387,98.57,0.0,1.43
1388,99.32,0.0,0.68
1389,99.04,0.0,0.96
1390,99.11,0.0,0.89
1391,99.19,0.81,0.0
1392,99.19,0.81,0.0
1393,99.02,0.98,0.0
1394,99.04,0.96,0.0
1395,99.15,0.85,0.0
1396,99.04,0.96,0.0
1397,98.87,1.13,0.0
1398,98.68,1.32,0.0
1399,98.66,1.34,0.0
1400,98.76,1.24,0.0
1401,98.71,1.29,0.0
