Year,True,Missing,False
1369,8.69,0.0,91.31
1370,11.58,0.0,88.42
1371,16.0,0.0,84.0
1372,22.0,0.0,78.0
1373,30.32,0.0,69.68
1374,28.19,0.0,71.81
1375,30.19,0.0,69.81
1376,35.3,0.0,64.7
1377,41.19,0.0,58.81
1378,44.05,0.0,55.95
1379,49.31,0.0,50.69
1380,57.13,0.0,42.87
1381,66.15,0.0,33.85
1382,75.78,0.0,24.22
1383,82.3,17.7,0.0
1384,85.96,14.04,0.0
1385,89.26,0.0,10.74
1386,91.38,8.62,0.0
1387,92.89,7.11,0.0
1388,93.79,6.21,0.0
1389,93.36,6.64,0.0
1390,95.79,4.21,0.0
1391,96.57,3.43,0.0
1392,96.48,3.52,0.0
1393,93.05,6.95,0.0
1394,92.98,7.02,0.0
1395,92.47,7.53,0.0
1396,96.77,3.23,0.0
1397,96.59,3.41,0.0
1398,96.83,3.17,0.0
1399,96.87,3.13,0.0
1400,89.51,10.49,0.0
1401,95.85,4.15,0.0
