Year,True,Missing,False
1369,86.58,0.0,13.42
1370,87.46,0.0,12.54
1371,86.62,0.0,13.38
1372,88.64,0.0,11.36
1373,93.35,0.0,6.65
1374,94.05,0.0,5.95
1375,93.86,0.0,6.14
1376,95.68,0.0,4.32
1377,96.66,0.0,3.34
1378,97.02,0.0,2.98
1379,97.68,0.0,2.32
1380,97.99,0.0,2.01
1381,98.48,0.0,1.52
1382,98.79,0.0,1.21
1383,99.05,0.95,0.0
1384,99.22,0.78,0.0
1385,99.44,0.0,0.56
1386,99.35,0.64,0.0
1387,99.51,0.49,0.0
1388,99.24,0.76,0.0
1389,98.04,1.96,0.0
1390,99.82,0.18,0.0
1391,99.88,0.12,0.0
1392,99.8,0.2,0.0
1393,95.97,4.03,0.0
1394,95.94,4.06,0.0
1395,95.65,4.35,0.0
1396,99.95,0.05,0.0
1397,99.96,0.04,0.0
1398,99.98,0.02,0.0
1399,99.97,0.03,0.0
1400,92.71,7.29,0.0
1401,99.98,0.02,0.0
1402,99.97,0.03,0.0
