Year,Missing,True,False
1369,0.0,6.7,93.3
1370,0.0,7.57,92.43
1371,0.0,8.53,91.47
1372,0.0,11.42,88.58
1373,0.0,15.86,84.14
1374,0.0,13.61,86.39
1375,0.0,14.32,85.68
1376,0.0,15.31,84.69
1377,0.0,16.3,83.7
1378,0.0,16.33,83.67
1379,0.0,16.97,83.03
1380,0.0,18.46,81.54
1381,0.0,20.17,79.83
1382,0.0,23.25,76.75
1383,73.74,26.26,0.0
1384,81.5,18.5,0.0
1385,0.0,18.82,81.18
1386,80.54,19.46,0.0
1387,81.01,18.99,0.0
1388,81.18,18.82,0.0
1389,80.49,19.51,0.0
1390,81.13,18.87,0.0
1391,79.98,20.02,0.0
1392,82.74,17.26,0.0
1393,83.78,16.22,0.0
1394,83.96,16.04,0.0
1395,84.04,15.96,0.0
1396,82.76,17.24,0.0
1397,83.22,16.78,0.0
1398,83.99,16.01,0.0
1399,85.56,14.44,0.0
1400,85.44,14.56,0.0
1401,82.91,17.09,0.0
