Year,Piped_Gas,Karosine,Electricity,None,Liquid_Gas,Wood_and_Charcoal,Gasoline,Animal_Fuel,Other_Fuel,1.0,5.0,3.0,2.0,6.0,4.0,,7.0,Gas,Coal
1369,,,,,,,,,,65.69,12.9,7.77,6.55,4.71,1.43,0.92,0.04,,
1370,,,,,,,,,,62.39,12.31,10.63,8.24,4.24,1.63,0.48,0.08,,
1371,,,,,,,,,,62.88,10.64,12.69,6.41,5.3,1.66,0.38,0.04,,
1372,,,,,,,,,,60.2,9.65,19.92,3.64,3.77,2.44,0.33,0.05,,
1373,,,,,,,,,,60.03,5.07,26.42,5.24,1.76,1.17,0.31,0.02,,
1374,,62.35,1.89,,,6.57,3.44,2.24,0.06,,,,,,,0.01,,23.44,
1375,,60.79,1.67,,,5.65,3.83,2.18,0.01,,,,,,,,,25.86,
1376,,61.5,1.51,,,4.35,4.43,1.54,,,,,,,,,,26.68,
1377,,59.95,1.56,,,4.86,4.86,1.27,0.06,,,,,,,,,27.42,
1378,,59.71,1.88,,,5.6,3.34,1.63,0.15,,,,,,,,,27.69,
1379,,58.12,2.64,,,5.1,2.96,2.01,0.04,,,,,,,,,29.14,
1380,,56.05,3.14,,,4.71,2.5,1.58,0.0,,,,,,,,,32.01,
1381,,54.31,2.47,,,4.62,2.41,1.03,0.03,,,,,,,,,35.14,
1382,,51.31,3.56,,,3.72,2.6,1.0,0.36,,,,,,,,,37.46,
1383,,47.29,3.66,,,4.18,2.12,0.76,0.02,,,,,,,0.02,,41.94,
1384,,46.02,3.01,,,3.18,1.49,0.55,0.07,,,,,,,,,45.67,
1385,,43.76,3.11,,,3.02,1.07,0.3,0.06,,,,,,,,,48.67,
1386,48.71,40.01,3.99,1.66,2.26,2.38,0.69,0.3,,,,,,,,,,,0.01
1387,51.67,38.82,3.91,1.16,1.78,2.1,0.46,0.09,0.0,,,,,,,,,,0.0
1388,54.08,36.47,4.13,1.41,1.57,1.5,0.31,0.04,0.01,,,,,,,0.48,,,0.0
1389,58.12,31.66,3.75,1.75,1.3,1.36,0.26,0.09,0.01,,,,,,,1.71,,,
1390,62.92,29.4,2.78,2.03,1.46,1.17,0.19,0.04,0.02,,,,,,,,,,
1391,65.6,26.99,3.34,1.73,1.06,1.07,0.16,0.05,0.0,,,,,,,,,,
1392,66.91,25.4,3.82,1.21,1.67,0.78,0.14,0.03,0.0,,,,,,,0.04,,,
1393,66.92,22.24,3.71,1.4,1.12,0.5,0.11,0.03,,,,,,,,3.97,,,
1394,69.22,20.06,4.41,0.84,0.85,0.43,0.1,0.02,0.05,,,,,,,4.03,,,
1395,71.31,17.57,4.41,0.99,0.85,0.43,0.13,0.01,0.0,,,,,,,4.31,,,
1396,77.35,15.37,4.2,1.6,0.87,0.51,0.08,0.02,0.0,,,,,,,,,,
1397,79.03,12.49,4.25,2.39,1.28,0.45,0.1,0.02,,,,,,,,,,,
1398,81.6,10.0,4.22,2.7,1.16,0.27,0.04,,,,,,,,,,,,
1399,83.7,8.07,4.58,2.67,0.78,0.18,0.02,,,,,,,,,,,,
1400,79.6,6.06,4.2,2.08,0.65,0.12,0.02,0.0,,,,,,,,7.27,,,
1401,87.11,5.18,4.84,1.89,0.85,0.11,0.02,,0.0,,,,,,,,,,
1402,88.17,4.52,4.28,2.26,0.67,0.07,0.01,0.0,0.0,,,,,,,,,,
