Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,18454,85.6,60.4,3,75.0,999
1370,18702,86.66,59.3,0,78.0,999
1371,18674,85.98,58.52,0,75.0,900
1372,12770,87.34,58.67,2,75.0,840
1373,19910,91.81,59.53,3,80.0,851
1374,36586,94.09,59.09,0,80.0,950
1375,21964,89.8,55.76,2,80.0,800
1376,21950,90.2,56.8,4,80.0,999
1377,17477,90.22,54.33,4,80.0,990
1378,27464,91.13,55.92,0,80.0,980
1379,26941,89.31,52.62,0,80.0,998
1380,26961,90.51,53.13,2,80.0,999
1381,32152,92.31,52.58,0,85.0,950
1382,23134,92.8,49.83,6,90.0,745
1383,24534,93.65,50.78,6,90.0,600
1384,26894,93.34,51.84,5,85.0,880
1385,30910,92.72,50.33,6,85.0,900
1386,31283,92.99,50.89,5,87.0,900
1387,39088,92.49,49.62,2,85.0,950
1388,36868,91.94,47.51,5,85.0,700
1389,38285,91.79,46.06,3,85.0,700
1390,38513,93.28,45.64,6,90.0,990
1391,38192,94.5,44.38,5,90.0,800
1392,38331,92.66,40.88,0,90.0,710
1393,39856,90.06,44.18,0,90.0,600
1394,38252,94.13,39.97,6,90.0,550
1395,39864,90.33,43.12,0,90.0,500
1396,37962,94.81,38.73,6,90.0,400
1397,38960,95.61,39.73,6,90.0,800
1398,38328,95.52,38.74,9,90.0,800
1399,37557,94.85,36.9,9,90.0,800
1400,40968,88.61,42.21,0,90.0,500
1401,37947,96.29,35.89,5,92.0,700
1402,37878,96.63,35.63,9,95.0,650
