Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1369,18454,590812.73,510150.7,1001,224049.5,1234220
1370,18704,588828.95,509843.3,1001,224008.5,1234220
1371,18674,594208.11,509271.36,1001,232003.5,1234220
1372,12770,627910.33,510517.97,1001,1004016.5,1234225
1373,19910,728034.37,510213.14,1001,1044007.5,1244040
1374,36586,6832970.93,5104703.8,10001,10310199.5,12440080
1375,21964,615909.37,520964.66,1001,244060.5,1244035
1376,21950,615842.12,521122.73,1001,254003.5,1254055
1377,17477,59402363.56,51842312.79,11001,26013166.0,127074100
1378,27464,60114495.77,51418577.52,11001,26011031.5,127074070
1379,26941,59368103.44,51289995.98,11001,25012030.0,127074070
1380,26961,59389267.53,51314417.16,11001,25014036.0,127074070
1381,32152,60928293.19,51274866.18,11001,26033088.5,127074180
1382,23134,61441515.01,51320047.99,11001,26042102.5,127114115
1383,24534,61401320.96,51222109.02,11001,26034047.5,127114130
1384,26895,62700233.52,51218143.64,11001,28023033.0,129214070
1385,30910,60379343.57,51412397.46,11001,27081105.5,129214100
1386,31283,62745029.98,50855476.69,11001,29031032.0,129214115
1387,39088,1654211738.67,505387056.97,1000001001,2000178003.5,2297861005
1388,37045,1639342651.81,504916121.54,1000001001,1290081003.0,2290245005
1389,38950,1654627121.32,503446892.96,1000001171,2000077721.5,2290128464
1390,38513,1662045757.88,504387595.42,1000001172,2000107017.0,2300127066
1391,38192,1662919191.72,504360227.94,1000001177,2000115013.0,2300127069
1392,38331,16558855257.3,5039429899.43,10001000101,20004014705.0,23004664416
1393,39856,16532353965.35,5039211227.77,10001000108,20003012918.0,23004664423
1394,39857,16532029847.3,5039219453.35,10001000116,20003012919.0,23004664429
1395,39864,16531479026.28,5039074013.54,10001000120,20003012876.5,23004664434
1396,37962,16566611774.32,5038951864.43,10001000126,20004014735.5,23004664440
1397,38960,16274260387.19,5041373770.68,10001000102,12903360615.5,23006709817
1398,38328,16305423633.81,5042177263.73,10001000108,12905362718.5,23006709818
1399,37557,16369694374.58,5037277325.07,10001000113,12909366229.0,23006709829
1400,40968,16243201237.89,5036527912.3,10001000119,12901359577.5,23006709835
1401,37951,16347125075.94,5039620385.4,10001000126,12907365125.0,23006709841
