Year,True,Missing,False
1369,56.83,0.0,43.17
1370,60.35,0.0,39.65
1371,60.84,0.0,39.16
1372,68.55,0.0,31.45
1373,73.45,0.0,26.55
1374,70.73,0.0,29.27
1375,70.48,0.0,29.52
1376,73.07,0.0,26.93
1377,72.24,0.0,27.76
1378,72.5,0.0,27.5
1379,74.21,0.0,25.79
1380,75.31,0.0,24.69
1381,76.78,0.0,23.22
1382,79.21,0.0,20.79
1383,80.82,19.18,0.0
1384,82.12,17.88,0.0
1385,0.0,0.0,100.0
1386,0.0,16.09,83.91
1387,0.0,13.84,86.16
1388,0.0,12.34,87.66
1389,0.0,12.91,87.09
1390,0.0,10.57,89.43
1391,90.75,9.25,0.0
1392,91.86,8.14,0.0
1393,88.96,11.04,0.0
1394,90.25,9.75,0.0
1395,90.36,9.64,0.0
1396,94.93,5.07,0.0
1397,94.95,5.05,0.0
1398,95.46,4.54,0.0
1399,96.23,3.77,0.0
1400,89.91,10.09,0.0
1401,96.69,3.31,0.0
