Year,Missing,True,False
1369,0.0,12.74,87.26
1370,0.0,12.31,87.69
1371,0.0,12.5,87.5
1372,0.0,14.09,85.91
1373,0.0,13.62,86.38
1374,0.0,14.37,85.63
1375,0.0,12.88,87.12
1376,0.0,12.53,87.47
1377,0.0,13.54,86.46
1378,0.0,14.48,85.52
1379,0.0,14.78,85.22
1380,0.0,15.16,84.84
1381,0.0,16.89,83.11
1382,0.0,19.96,80.04
1383,77.41,22.59,0.0
1384,74.71,25.29,0.0
1385,0.0,26.1,73.9
1386,72.7,27.3,0.0
1387,73.11,26.89,0.0
1388,71.22,28.78,0.0
1389,73.54,26.46,0.0
1390,74.03,25.97,0.0
1391,74.69,25.31,0.0
1392,74.96,25.04,0.0
1393,76.17,23.83,0.0
1394,75.92,24.08,0.0
1395,76.07,23.93,0.0
1396,74.3,25.7,0.0
1397,75.85,24.15,0.0
1398,76.26,23.74,0.0
1399,77.86,22.14,0.0
1400,79.81,20.19,0.0
1401,79.13,20.87,0.0
1402,79.14,20.86,0.0
